,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID,Date
0,Gordon Hayward,Boston Celtics,5:15,1,2,50,0,1,0,0,0,0,0,1,1,0,0,0,0,1,2,3,0,10/17/2017
1,Jayson Tatum,Boston Celtics,36:32:00,5,12,41.7,1,2,50,3,3,100,4,6,10,3,0,0,1,4,14,5,0,10/17/2017
2,Al Horford,Boston Celtics,32:07:00,2,7,28.6,0,2,0,5,7,71.4,0,7,7,5,0,1,0,2,9,8,0,10/17/2017
3,Jaylen Brown,Boston Celtics,39:36:00,11,23,47.8,2,9,22.2,1,2,50,1,5,6,0,2,0,3,5,25,-5,0,10/17/2017
4,Kyrie Irving,Boston Celtics,39:21:00,8,17,47.1,4,9,44.4,2,2,100,2,2,4,10,3,0,2,4,22,-2,0,10/17/2017
5,Marcus Smart,Boston Celtics,35:03:00,5,16,31.3,0,4,0,2,3,66.7,0,9,9,3,2,2,2,2,12,-8,0,10/17/2017
6,Semi Ojeleye,Boston Celtics,8:39,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-9,0,10/17/2017
7,Terry Rozier,Boston Celtics,19:32,2,6,33.3,1,3,33.3,4,4,100,0,3,3,2,4,0,0,0,9,5,0,10/17/2017
8,LeBron James,Cleveland Cavaliers,41:12:00,12,19,63.2,1,5,20,4,4,100,1,15,16,9,0,2,4,3,29,3,0,10/17/2017
9,Jae Crowder,Cleveland Cavaliers,34:44:00,3,10,30,1,5,20,4,4,100,1,4,5,2,2,0,1,2,11,8,0,10/17/2017
10,Kevin Love,Cleveland Cavaliers,28:24:00,4,9,44.4,1,4,25,6,7,85.7,3,8,11,0,0,0,2,2,15,1,0,10/17/2017
11,Derrick Rose,Cleveland Cavaliers,31:15:00,5,14,35.7,1,3,33.3,3,4,75,1,3,4,2,0,0,2,2,14,-7,0,10/17/2017
12,Tristan Thompson,Cleveland Cavaliers,19:36,2,3,66.7,0,0,0,1,3,33.3,1,5,6,2,0,0,2,3,5,2,0,10/17/2017
13,Jeff Green,Cleveland Cavaliers,14:14,3,8,37.5,0,1,0,0,0,0,0,0,0,0,0,0,1,3,6,-3,0,10/17/2017
14,Trevor Ariza,Houston Rockets,37:39:00,3,9,33.3,2,5,40,0,0,0,1,5,6,5,2,0,1,2,8,-8,1,10/17/2017
15,Clint Capela,Houston Rockets,18:10,6,10,60,0,0,0,0,1,0,1,3,4,0,1,1,2,0,12,-23,1,10/17/2017
16,James Harden,Houston Rockets,36:24:00,10,23,43.5,4,9,44.4,3,4,75,1,5,6,11,1,0,3,2,27,1,1,10/17/2017
17,Chris Paul,Houston Rockets,33:04:00,2,9,22.2,0,4,0,0,0,0,1,7,8,10,2,1,1,4,4,-13,1,10/17/2017
18,P.J. Tucker,Houston Rockets,28:40:00,6,9,66.7,4,6,66.7,4,6,66.7,1,5,6,0,1,0,1,3,20,20,1,10/17/2017
19,Eric Gordon,Houston Rockets,29:23:00,9,16,56.3,0,6,0,6,8,75,0,1,1,1,1,2,2,1,24,16,1,10/17/2017
20,Kevin Durant,Golden State Warriors,37:38:00,7,15,46.7,2,5,40,4,5,80,1,4,5,7,0,4,8,4,20,11,1,10/17/2017
21,Draymond Green,Golden State Warriors,27:39:00,2,6,33.3,1,2,50,4,4,100,1,10,11,13,0,0,2,3,9,7,1,10/17/2017
22,Klay Thompson,Golden State Warriors,38:09:00,6,14,42.9,4,7,57.1,0,0,0,0,6,6,3,2,2,1,0,16,0,1,10/17/2017
23,Stephen Curry,Golden State Warriors,29:33:00,8,18,44.4,3,9,33.3,3,3,100,0,5,5,4,1,0,2,4,22,9,1,10/17/2017
24,Kevon Looney,Golden State Warriors,7:46,0,0,0,0,0,0,1,2,50,0,2,2,0,1,0,0,2,1,-7,1,10/17/2017
25,Dwight Howard,Charlotte Hornets,31:27:00,5,9,55.6,0,0,0,0,2,0,1,14,15,1,1,2,3,2,10,-3,2,10/18/2017
26,Jeremy Lamb,Charlotte Hornets,28:21:00,4,10,40,0,3,0,7,8,87.5,0,4,4,2,1,0,2,2,15,-10,2,10/18/2017
27,Kemba Walker,Charlotte Hornets,35:26:00,6,13,46.2,1,3,33.3,11,13,84.6,1,5,6,4,0,0,4,1,24,-11,2,10/18/2017
28,Frank Kaminsky,Charlotte Hornets,23:12,1,9,11.1,0,5,0,2,2,100,0,4,4,2,0,0,0,0,4,-6,2,10/18/2017
29,Malik Monk,Charlotte Hornets,21:28,1,9,11.1,1,6,16.7,0,0,0,0,0,0,1,0,0,3,1,3,-8,2,10/18/2017
30,Cody Zeller,Charlotte Hornets,23:24,3,5,60,0,0,0,2,2,100,1,8,9,0,0,1,2,2,8,-4,2,10/18/2017
