,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID,Date
0,Tobias Harris,Orlando Magic,36:32,9,18,50.0,1,2,50.0,6,6,100,2,6,8,0,1,0,4,2,25,-4,0,2014-10-28
1,Nikola Vucevic,Orlando Magic,35:03,7,15,46.7,0,0,0.0,1,2,50.0,5,18,23,1,1,4,1,2,15,-3,0,2014-10-28
2,Evan Fournier,Orlando Magic,32:15,3,11,27.3,2,4,50.0,3,3,100,1,2,3,2,0,0,4,2,11,-13,0,2014-10-28
3,Elfrid Payton,Orlando Magic,30:46,2,8,25.0,0,0,0.0,0,0,0.0,3,2,5,7,1,0,2,5,4,1,0,2014-10-28
4,Aaron Gordon,Orlando Magic,28:27,5,8,62.5,1,2,50.0,0,0,0.0,2,1,3,0,1,1,3,3,11,-18,0,2014-10-28
5,Dewayne Dedmon,Orlando Magic,8:14,1,2,50.0,0,0,0.0,1,2,50.0,2,1,3,0,0,1,1,1,3,-1,0,2014-10-28
6,Anthony Davis,New Orleans Pelicans,36:20,10,22,45.5,0,0,0.0,6,9,66.7,9,8,17,2,3,9,0,1,26,19,0,2014-10-28
7,Eric Gordon,New Orleans Pelicans,31:31,3,8,37.5,1,2,50.0,1,3,33.3,0,4,4,0,2,2,3,1,8,17,0,2014-10-28
8,Jrue Holiday,New Orleans Pelicans,27:02,4,11,36.4,0,3,0.0,0,0,0.0,0,2,2,4,3,1,2,2,8,9,0,2014-10-28
9,Austin Rivers,New Orleans Pelicans,19:49,2,5,40.0,0,2,0.0,3,6,50.0,0,1,1,3,1,0,0,1,7,6,0,2014-10-28
10,Jae Crowder,Dallas Mavericks,10:52,2,2,100,0,0,0.0,1,1,100,0,0,0,0,0,0,1,1,5,-8,1,2014-10-28
11,Danny Green,San Antonio Spurs,34:02,5,9,55.6,3,6,50.0,0,0,0.0,2,2,4,1,1,0,3,4,13,-4,1,2014-10-28
12,Cory Joseph,San Antonio Spurs,16:42,3,4,75.0,1,2,50.0,0,0,0.0,0,1,1,2,0,0,0,1,7,6,1,2014-10-28
