,Visitor,VisitorScore,Home,HomeScore,Date,GAMEID
0,Celtics,104,Knicks,106,2011-12-25,0
1,Heat,105,Mavericks,94,2011-12-25,1
2,Bulls,88,Lakers,87,2011-12-25,2
3,Magic,89,Thunder,97,2011-12-25,3
4,Clippers,105,Warriors,86,2011-12-25,4
5,Nets,90,Wizards,84,2011-12-26,5
6,Bucks,95,Bobcats,96,2011-12-26,6
7,Rockets,95,Magic,104,2011-12-26,7
8,Raptors,104,Cavaliers,96,2011-12-26,8
9,Pistons,79,Pacers,91,2011-12-26,9
10,Thunder,104,Timberwolves,100,2011-12-26,10
11,Nuggets,115,Mavericks,93,2011-12-26,11
12,Grizzlies,82,Spurs,95,2011-12-26,12
13,Hornets,85,Suns,84,2011-12-26,13
14,Lakers,91,Kings,100,2011-12-26,14
15,76ers,103,Trail Blazers,107,2011-12-26,15
16,Bulls,91,Warriors,99,2011-12-26,16
17,Hawks,106,Nets,70,2011-12-27,17
18,Celtics,107,Heat,115,2011-12-27,18
19,Timberwolves,95,Bucks,98,2011-12-27,19
20,Kings,79,Trail Blazers,101,2011-12-27,20
21,Jazz,71,Lakers,96,2011-12-27,21
22,Pacers,90,Raptors,85,2011-12-28,22
23,Heat,96,Bobcats,95,2011-12-28,23
24,Wizards,83,Hawks,101,2011-12-28,24
25,Cavaliers,105,Pistons,89,2011-12-28,25
26,Thunder,98,Grizzlies,95,2011-12-28,26
27,Celtics,78,Hornets,97,2011-12-28,27
28,Clippers,90,Spurs,115,2011-12-28,28
29,Jazz,100,Nuggets,117,2011-12-28,29
30,76ers,103,Suns,83,2011-12-28,30
31,Knicks,78,Warriors,92,2011-12-28,31
32,Nets,78,Magic,94,2011-12-29,32
33,Spurs,85,Rockets,105,2011-12-29,33
34,Mavericks,102,Thunder,104,2011-12-29,34
35,Bulls,108,Kings,98,2011-12-29,35
36,Nuggets,102,Trail Blazers,111,2011-12-29,36
37,Knicks,82,Lakers,99,2011-12-29,37
38,Magic,100,Bobcats,79,2011-12-30,38
39,Cavaliers,91,Pacers,98,2011-12-30,39
40,Pistons,85,Celtics,96,2011-12-30,40
41,Nets,98,Hawks,105,2011-12-30,41
42,Rockets,93,Grizzlies,113,2011-12-30,42
43,Suns,93,Hornets,78,2011-12-30,43
44,Heat,103,Timberwolves,101,2011-12-30,44
45,Wizards,81,Bucks,102,2011-12-30,45
46,Raptors,86,Mavericks,99,2011-12-30,46
47,76ers,99,Jazz,102,2011-12-30,47
48,Bulls,114,Clippers,101,2011-12-30,48
49,Nuggets,89,Lakers,92,2011-12-31,49
50,Pacers,88,Pistons,96,2011-12-31,50
51,Hawks,84,Rockets,95,2011-12-31,51
52,Suns,97,Thunder,107,2011-12-31,52
53,Knicks,114,Kings,92,2011-12-31,53
54,Jazz,89,Spurs,104,2011-12-31,54
55,76ers,107,Warriors,79,2011-12-31,55
