,GAMEID,Visitor,VisitorScore,Home,HomeScore,Date
0,0,Pistons,106,Hawks,94,2015-10-27
1,1,Cavaliers,95,Bulls,97,2015-10-27
2,2,Pelicans,95,Warriors,111,2015-10-27
3,3,Wizards,88,Magic,87,2015-10-28
4,4,76ers,95,Celtics,112,2015-10-28
5,5,Bulls,115,Nets,100,2015-10-28
6,6,Jazz,87,Pistons,92,2015-10-28
7,7,Hornets,94,Heat,104,2015-10-28
8,8,Pacers,99,Raptors,106,2015-10-28
9,9,Nuggets,105,Rockets,85,2015-10-28
10,10,Cavaliers,106,Grizzlies,76,2015-10-28
11,11,Knicks,122,Bucks,97,2015-10-28
12,12,Spurs,106,Thunder,112,2015-10-28
13,13,Mavericks,111,Suns,95,2015-10-28
14,14,Pelicans,94,Trail Blazers,112,2015-10-28
15,15,Clippers,111,Kings,104,2015-10-28
16,16,Timberwolves,112,Lakers,111,2015-10-28
17,17,Grizzlies,112,Pacers,103,2015-10-29
18,18,Hawks,112,Knicks,101,2015-10-29
19,19,Mavericks,88,Clippers,104,2015-10-29
20,20,Heat,92,Cavaliers,102,2015-10-30
21,21,Thunder,139,Magic,136,2015-10-30
22,22,Jazz,99,76ers,71,2015-10-30
23,23,Raptors,113,Celtics,103,2015-10-30
24,24,Bulls,94,Pistons,98,2015-10-30
25,25,Hornets,94,Hawks,97,2015-10-30
26,26,Wizards,118,Bucks,113,2015-10-30
27,27,Nets,75,Spurs,102,2015-10-30
28,28,Timberwolves,95,Nuggets,78,2015-10-30
29,29,Warriors,112,Rockets,92,2015-10-30
30,30,Lakers,114,Kings,132,2015-10-30
31,31,Trail Blazers,92,Suns,110,2015-10-30
32,32,Jazz,97,Pacers,76,2015-10-31
33,33,Knicks,117,Wizards,110,2015-10-31
34,34,Warriors,134,Pelicans,120,2015-10-31
35,35,Nets,91,Grizzlies,101,2015-10-31
36,36,Suns,101,Trail Blazers,90,2015-10-31
37,37,Kings,109,Clippers,114,2015-10-31
38,38,Hawks,94,Hornets,92,2015-11-01
39,39,Spurs,95,Celtics,87,2015-11-01
40,40,Rockets,89,Heat,109,2015-11-01
41,41,Bucks,87,Raptors,106,2015-11-01
42,42,Magic,87,Bulls,92,2015-11-01
43,43,Nuggets,93,Thunder,117,2015-11-01
44,44,Mavericks,103,Lakers,93,2015-11-01
45,45,Cavaliers,107,76ers,100,2015-11-02
46,46,Bucks,103,Nets,96,2015-11-02
47,47,Spurs,94,Knicks,84,2015-11-02
48,48,Thunder,105,Rockets,110,2015-11-02
49,49,Trail Blazers,106,Timberwolves,101,2015-11-02
50,50,Grizzlies,69,Warriors,119,2015-11-02
51,51,Suns,96,Clippers,102,2015-11-02
52,52,Bulls,105,Hornets,130,2015-11-03
53,53,Pacers,94,Pistons,82,2015-11-03
54,54,Hawks,98,Heat,92,2015-11-03
55,55,Magic,103,Pelicans,94,2015-11-03
56,56,Raptors,102,Mavericks,91,2015-11-03
57,57,Grizzlies,103,Kings,89,2015-11-03
58,58,Nuggets,120,Lakers,109,2015-11-03
59,59,Celtics,98,Pacers,100,2015-11-04
60,60,Spurs,99,Wizards,102,2015-11-04
61,61,Nets,87,Hawks,101,2015-11-04
62,62,Knicks,86,Cavaliers,96,2015-11-04
63,63,Magic,114,Rockets,119,2015-11-04
64,64,76ers,87,Bucks,91,2015-11-04
65,65,Raptors,103,Thunder,98,2015-11-04
66,66,Kings,97,Suns,118,2015-11-04
67,67,Trail Blazers,108,Jazz,92,2015-11-04
68,68,Clippers,108,Warriors,112,2015-11-04
69,69,Thunder,98,Bulls,104,2015-11-05
70,70,Heat,96,Timberwolves,84,2015-11-05
71,71,Hornets,108,Mavericks,94,2015-11-05
72,72,Jazz,96,Nuggets,84,2015-11-05
73,73,Grizzlies,96,Trail Blazers,115,2015-11-05
