,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID,Date
0,Boston Celtics,39,76,51.3,2,5,40.0,24,31,77.4,13,28,41,28,7,5,18,28,104,-2,0,0,2011-12-25
1,New York Knicks,35,74,47.3,9,20,45.0,27,34,79.4,8,23,31,17,9,11,16,25,106,2,1,0,2011-12-25
2,Miami Heat,38,78,48.7,4,7,57.1,25,36,69.4,15,36,51,18,9,6,22,28,105,11,0,1,2011-12-25
3,Dallas Mavericks,31,82,37.8,9,28,32.1,23,30,76.7,8,23,31,23,10,0,17,29,94,-11,1,1,2011-12-25
4,Chicago Bulls,36,89,40.4,7,15,46.7,9,14,64.3,16,25,41,21,14,4,14,21,88,1,0,2,2011-12-25
5,Los Angeles Lakers,36,76,47.4,4,16,25.0,11,20,55.0,12,30,42,22,6,8,17,20,87,-1,1,2,2011-12-25
6,Orlando Magic,30,81,37.0,8,28,28.6,21,26,80.8,14,31,45,18,7,4,18,25,89,-8,0,3,2011-12-25
7,Oklahoma City Thunder,34,72,47.2,10,19,52.6,19,26,73.1,7,36,43,21,8,5,16,22,97,8,1,3,2011-12-25
8,Los Angeles Clippers,37,81,45.7,8,23,34.8,23,38,60.5,13,30,43,22,9,8,10,19,105,19,0,4,2011-12-25
9,Golden State Warriors,32,82,39.0,5,21,23.8,17,24,70.8,17,31,48,17,4,8,16,32,86,-19,1,4,2011-12-25
10,New Jersey Nets,34,86,39.5,6,26,23.1,16,20,80.0,18,40,58,17,7,3,15,26,90,6,0,5,2011-12-26
11,Washington Wizards,31,74,41.9,1,7,14.3,21,34,61.8,8,31,39,13,8,7,11,17,84,-6,1,5,2011-12-26
12,Milwaukee Bucks,34,84,40.5,8,23,34.8,19,23,82.6,8,31,39,21,6,2,12,20,95,-1,0,6,2011-12-26
13,Charlotte Bobcats,38,86,44.2,4,19,21.1,16,21,76.2,15,37,52,27,3,6,16,20,96,1,1,6,2011-12-26
14,Houston Rockets,36,82,43.9,6,27,22.2,17,20,85.0,11,30,41,26,4,5,9,17,95,-9,0,7,2011-12-26
15,Orlando Magic,44,83,53.0,9,22,40.9,7,10,70.0,6,29,35,19,1,4,11,15,104,9,1,7,2011-12-26
16,Toronto Raptors,42,79,53.2,9,21,42.9,11,13,84.6,11,34,45,35,4,9,12,22,104,8,0,8,2011-12-26
17,Cleveland Cavaliers,35,85,41.2,6,20,30.0,20,28,71.4,15,22,37,21,7,1,7,16,96,-8,1,8,2011-12-26
18,Detroit Pistons,27,75,36.0,7,19,36.8,18,21,85.7,9,31,40,17,5,8,16,19,79,-12,0,9,2011-12-26
