,Visitor,VisitorScore,Home,HomeScore,Date,GAMEID
0,Celtics,99,Cavaliers,102,10/17/2017,0
1,Rockets,122,Warriors,121,10/17/2017,1
2,Hornets,90,Pistons,102,10/18/2017,2
3,Nets,131,Pacers,140,10/18/2017,3
4,Heat,109,Magic,116,10/18/2017,4
5,76ers,115,Wizards,120,10/18/2017,5
6,Bucks,108,Celtics,100,10/18/2017,6
7,Pelicans,91,Grizzlies,103,10/18/2017,7
8,Hawks,117,Mavericks,111,10/18/2017,8
9,Nuggets,96,Jazz,106,10/18/2017,9
10,Timberwolves,99,Spurs,107,10/18/2017,10
11,Trail Blazers,124,Suns,76,10/18/2017,11
12,Rockets,105,Kings,100,10/18/2017,12
13,Bulls,100,Raptors,117,10/19/2017,13
14,Knicks,84,Thunder,105,10/19/2017,14
15,Clippers,108,Lakers,92,10/19/2017,15
16,Hawks,91,Hornets,109,10/20/2017,16
17,Trail Blazers,114,Pacers,96,10/20/2017,17
18,Celtics,102,76ers,92,10/20/2017,18
19,Pistons,111,Wizards,115,10/20/2017,19
20,Cavaliers,116,Bucks,97,10/20/2017,20
21,Magic,121,Nets,126,10/20/2017,21
22,Jazz,97,Timberwolves,100,10/20/2017,22
23,Kings,93,Mavericks,88,10/20/2017,23
24,Warriors,128,Pelicans,120,10/20/2017,24
25,Lakers,132,Suns,130,10/20/2017,25
26,76ers,94,Raptors,128,10/21/2017,26
27,Magic,114,Cavaliers,93,10/21/2017,27
28,Pacers,108,Heat,112,10/21/2017,28
29,Pistons,111,Knicks,107,10/21/2017,29
30,Spurs,87,Bulls,77,10/21/2017,30
31,Mavericks,91,Rockets,107,10/21/2017,31
32,Warriors,101,Grizzlies,111,10/21/2017,32
33,Trail Blazers,110,Bucks,113,10/21/2017,33
34,Kings,79,Nuggets,96,10/21/2017,34
35,Thunder,87,Jazz,96,10/21/2017,35
36,Suns,88,Clippers,130,10/21/2017,36
37,Hawks,104,Nets,116,10/22/2017,37
38,Timberwolves,115,Thunder,113,10/22/2017,38
39,Pelicans,119,Lakers,112,10/22/2017,39
40,76ers,97,Pistons,86,10/23/2017,40
41,Hawks,93,Heat,104,10/23/2017,41
42,Grizzlies,98,Rockets,90,10/23/2017,42
43,Hornets,94,Bucks,103,10/23/2017,43
44,Warriors,133,Mavericks,103,10/23/2017,44
45,Raptors,97,Spurs,101,10/23/2017,45
46,Wizards,109,Nuggets,104,10/23/2017,46
47,Kings,115,Suns,117,10/23/2017,47
48,Bulls,112,Cavaliers,119,10/24/2017,48
49,Nets,121,Magic,125,10/24/2017,49
50,Knicks,89,Celtics,110,10/24/2017,50
51,Pacers,130,Timberwolves,107,10/24/2017,51
52,Pelicans,93,Trail Blazers,103,10/24/2017,52
53,Jazz,84,Clippers,102,10/24/2017,53
54,Nuggets,93,Hornets,110,10/25/2017,54
55,Timberwolves,101,Pistons,122,10/25/2017,55
56,Rockets,105,76ers,104,10/25/2017,56
57,Cavaliers,107,Nets,112,10/25/2017,57
58,Spurs,117,Heat,100,10/25/2017,58
59,Pacers,96,Thunder,114,10/25/2017,59
60,Grizzlies,94,Mavericks,103,10/25/2017,60
61,Jazz,88,Suns,97,10/25/2017,61
62,Raptors,112,Warriors,117,10/25/2017,62
63,Wizards,99,Lakers,102,10/25/2017,63
64,Hawks,86,Bulls,91,10/26/2017,64
65,Mavericks,91,Grizzlies,96,10/26/2017,65
66,Celtics,96,Bucks,89,10/26/2017,66
67,Clippers,104,Trail Blazers,103,10/26/2017,67
68,Pelicans,114,Kings,106,10/26/2017,68
69,Rockets,109,Hornets,93,10/27/2017,69
70,Spurs,87,Magic,114,10/27/2017,70
71,Nuggets,105,Hawks,100,10/27/2017,71
72,Nets,86,Knicks,107,10/27/2017,72
73,Thunder,116,Timberwolves,119,10/27/2017,73
74,Wizards,117,Warriors,120,10/27/2017,74
75,Raptors,101,Lakers,92,10/27/2017,75
76,Cavaliers,101,Pelicans,123,10/28/2017,76
77,Celtics,96,Heat,90,10/28/2017,77
78,Thunder,101,Bulls,69,10/28/2017,78
79,Rockets,89,Grizzlies,103,10/28/2017,79
80,76ers,112,Mavericks,110,10/28/2017,80
81,Lakers,81,Jazz,96,10/28/2017,81
82,Suns,107,Trail Blazers,114,10/28/2017,82
83,Pistons,95,Clippers,87,10/28/2017,83
84,Bucks,117,Hawks,106,10/29/2017,84
85,Spurs,94,Pacers,97,10/29/2017,85
86,Nuggets,124,Nets,111,10/29/2017,86
87,Magic,113,Hornets,120,10/29/2017,87
88,Wizards,110,Kings,83,10/29/2017,88
89,Knicks,114,Cavaliers,95,10/29/2017,89
90,Pistons,115,Warriors,107,10/29/2017,90
91,Spurs,94,Celtics,108,10/30/2017,91
92,Timberwolves,125,Heat,122,10/30/2017,92
93,Nuggets,110,Knicks,116,10/30/2017,93
94,76ers,115,Rockets,107,10/30/2017,94
95,Hornets,104,Grizzlies,99,10/30/2017,95
96,Magic,115,Pelicans,99,10/30/2017,96
97,Mavericks,89,Jazz,104,10/30/2017,97
98,Raptors,99,Trail Blazers,85,10/30/2017,98
99,Warriors,141,Clippers,113,10/30/2017,99
100,Kings,83,Pacers,101,10/31/2017,100
101,Suns,122,Nets,114,10/31/2017,101
102,Thunder,110,Bucks,91,10/31/2017,102
103,Pistons,93,Lakers,113,10/31/2017,103
104,Bucks,121,Hornets,126,11/1/2017,104
105,Pacers,124,Cavaliers,107,11/1/2017,105
106,Hawks,109,76ers,119,11/1/2017,106
107,Suns,122,Wizards,116,11/1/2017,107
108,Kings,86,Celtics,113,11/1/2017,108
109,Bulls,91,Heat,97,11/1/2017,109
110,Rockets,119,Knicks,97,11/1/2017,110
111,Magic,101,Grizzlies,99,11/1/2017,111
112,Timberwolves,104,Pelicans,98,11/1/2017,112
113,Raptors,111,Nuggets,129,11/1/2017,113
114,Trail Blazers,103,Jazz,112,11/1/2017,114
115,Mavericks,98,Clippers,119,11/1/2017,115
116,Warriors,112,Spurs,92,11/2/2017,116
117,Lakers,110,Trail Blazers,113,11/2/2017,117
118,Bucks,96,Pistons,105,11/3/2017,118
119,Bulls,105,Magic,83,11/3/2017,119
120,Pacers,110,76ers,121,11/3/2017,120
121,Cavaliers,130,Wizards,122,11/3/2017,121
122,Rockets,119,Hawks,104,11/3/2017,122
123,Suns,107,Knicks,120,11/3/2017,123
124,Pelicans,99,Mavericks,94,11/3/2017,124
125,Hornets,101,Spurs,108,11/3/2017,125
126,Heat,94,Nuggets,95,11/3/2017,126
127,Raptors,109,Jazz,100,11/3/2017,127
128,Celtics,101,Thunder,94,11/3/2017,128
129,Nets,112,Lakers,124,11/3/2017,129
130,Grizzlies,113,Clippers,104,11/4/2017,130
131,Kings,99,Pistons,108,11/4/2017,131
132,Pelicans,96,Bulls,90,11/4/2017,132
133,Mavericks,99,Timberwolves,112,11/4/2017,133
134,Warriors,127,Nuggets,108,11/4/2017,134
135,Hawks,117,Cavaliers,115,11/5/2017,135
136,Heat,104,Clippers,101,11/5/2017,136
137,Celtics,104,Magic,88,11/5/2017,137
138,Wizards,107,Raptors,96,11/5/2017,138
139,Jazz,110,Rockets,137,11/5/2017,139
140,Suns,95,Spurs,112,11/5/2017,140
141,Pacers,101,Knicks,108,11/5/2017,141
142,Hornets,94,Timberwolves,112,11/5/2017,142
143,Thunder,99,Trail Blazers,103,11/5/2017,143
144,Grizzlies,102,Lakers,107,11/5/2017,144
145,Celtics,110,Hawks,107,11/6/2017,145
146,Nets,98,Suns,92,11/6/2017,146
147,Heat,80,Warriors,97,11/6/2017,147
148,Bucks,119,Cavaliers,124,11/7/2017,148
149,Pelicans,117,Pacers,112,11/7/2017,149
150,Mavericks,113,Wizards,99,11/7/2017,150
151,Hornets,113,Knicks,118,11/7/2017,151
152,Bulls,114,Raptors,119,11/7/2017,152
153,Clippers,107,Spurs,120,11/7/2017,153
154,Nets,104,Nuggets,112,11/7/2017,154
155,76ers,104,Jazz,97,11/7/2017,155
156,Grizzlies,98,Trail Blazers,97,11/7/2017,156
157,Thunder,86,Kings,94,11/7/2017,157
158,Pacers,97,Pistons,114,11/8/2017,158
159,Knicks,99,Magic,112,11/8/2017,159
160,Lakers,96,Celtics,107,11/8/2017,160
161,Heat,126,Suns,115,11/8/2017,161
162,Timberwolves,101,Warriors,125,11/8/2017,162
163,Lakers,95,Wizards,111,11/9/2017,163
164,Pelicans,118,Raptors,122,11/9/2017,164
165,Cavaliers,113,Rockets,117,11/9/2017,165
166,76ers,108,Kings,109,11/9/2017,166
167,Thunder,94,Nuggets,102,11/9/2017,167
168,Hawks,104,Pistons,111,11/10/2017,168
169,Hornets,87,Celtics,90,11/10/2017,169
170,Pacers,105,Bulls,87,11/10/2017,170
171,Clippers,111,Thunder,120,11/10/2017,171
172,Bucks,94,Spurs,87,11/10/2017,172
173,Magic,128,Suns,112,11/10/2017,173
174,Heat,84,Jazz,74,11/10/2017,174
175,Nets,101,Trail Blazers,97,11/10/2017,175
176,Hawks,94,Wizards,113,11/11/2017,176
177,Clippers,103,Pelicans,111,11/11/2017,177
178,Kings,91,Knicks,118,11/11/2017,178
179,Grizzlies,96,Rockets,111,11/11/2017,179
180,Cavaliers,111,Mavericks,104,11/11/2017,180
181,Lakers,90,Bucks,98,11/11/2017,181
182,Bulls,94,Spurs,133,11/11/2017,182
183,76ers,114,Warriors,135,11/11/2017,183
184,Magic,107,Nuggets,125,11/11/2017,184
185,Timberwolves,110,Suns,118,11/11/2017,185
186,Nets,106,Jazz,114,11/11/2017,186
187,Raptors,94,Celtics,95,11/12/2017,187
188,Heat,103,Pistons,112,11/12/2017,188
189,Rockets,118,Pacers,95,11/12/2017,189
190,Mavericks,99,Thunder,112,11/12/2017,190
191,Kings,92,Wizards,110,11/13/2017,191
192,Cavaliers,104,Knicks,101,11/13/2017,192
193,Grizzlies,103,Bucks,110,11/13/2017,193
194,Hawks,105,Pelicans,106,11/13/2017,194
195,Lakers,100,Suns,93,11/13/2017,195
196,Timberwolves,109,Jazz,98,11/13/2017,196
197,Nuggets,82,Trail Blazers,99,11/13/2017,197
198,Magic,100,Warriors,110,11/13/2017,198
199,76ers,109,Clippers,105,11/13/2017,199
200,Celtics,109,Nets,102,11/14/2017,200
201,Raptors,129,Rockets,113,11/14/2017,201
202,Spurs,97,Mavericks,91,11/14/2017,202
203,Kings,80,Hawks,126,11/15/2017,203
204,Wizards,102,Heat,93,11/15/2017,204
205,Jazz,101,Knicks,106,11/15/2017,205
206,Cavaliers,115,Hornets,107,11/15/2017,206
207,Pacers,116,Grizzlies,113,11/15/2017,207
208,Pistons,95,Bucks,99,11/15/2017,208
209,Spurs,86,Timberwolves,98,11/15/2017,209
210,Raptors,125,Pelicans,116,11/15/2017,210
211,Bulls,79,Thunder,92,11/15/2017,211
212,Magic,94,Trail Blazers,99,11/15/2017,212
213,76ers,115,Lakers,109,11/15/2017,213
214,Warriors,88,Celtics,92,11/16/2017,214
215,Rockets,142,Suns,116,11/16/2017,215
216,Pistons,100,Pacers,107,11/17/2017,216
217,Heat,91,Wizards,88,11/17/2017,217
218,Jazz,107,Nets,118,11/17/2017,218
219,Clippers,113,Cavaliers,118,11/17/2017,219
220,Knicks,84,Raptors,107,11/17/2017,220
221,Hornets,120,Bulls,123,11/17/2017,221
222,Thunder,101,Spurs,104,11/17/2017,222
223,Timberwolves,111,Mavericks,87,11/17/2017,223
224,Trail Blazers,82,Kings,86,11/17/2017,224
225,Pelicans,114,Nuggets,146,11/17/2017,225
226,Suns,122,Lakers,113,11/17/2017,226
227,Clippers,87,Hornets,102,11/18/2017,227
228,Jazz,125,Magic,85,11/18/2017,228
229,Celtics,110,Hawks,99,11/18/2017,229
230,Warriors,124,76ers,116,11/18/2017,230
231,Rockets,105,Grizzlies,83,11/18/2017,231
232,Bucks,79,Mavericks,111,11/18/2017,232
233,Kings,90,Trail Blazers,102,11/18/2017,233
234,Wizards,91,Raptors,100,11/19/2017,234
235,Pacers,120,Heat,95,11/19/2017,235
236,Warriors,118,Nets,111,11/19/2017,236
237,Pistons,100,Timberwolves,97,11/19/2017,237
238,Bulls,105,Suns,113,11/19/2017,238
239,Nuggets,109,Lakers,127,11/19/2017,239
240,Timberwolves,102,Hornets,118,11/20/2017,240
241,Cavaliers,116,Pistons,88,11/20/2017,241
242,Pacers,105,Magic,97,11/20/2017,242
243,Jazz,86,76ers,107,11/20/2017,243
244,Clippers,85,Knicks,107,11/20/2017,244
245,Trail Blazers,100,Grizzlies,92,11/20/2017,245
246,Wizards,99,Bucks,88,11/20/2017,246
247,Thunder,107,Pelicans,114,11/20/2017,247
248,Celtics,110,Mavericks,102,11/20/2017,248
249,Hawks,85,Spurs,96,11/20/2017,249
250,Nuggets,114,Kings,98,11/20/2017,250
251,Bulls,94,Lakers,103,11/21/2017,251
252,Wizards,124,Hornets,129,11/22/2017,252
253,Nets,109,Cavaliers,119,11/22/2017,253
254,Trail Blazers,81,76ers,101,11/22/2017,254
255,Clippers,116,Hawks,103,11/22/2017,255
256,Celtics,98,Heat,104,11/22/2017,256
257,Raptors,100,Knicks,108,11/22/2017,257
258,Nuggets,95,Rockets,125,11/22/2017,258
259,Mavericks,95,Grizzlies,94,11/22/2017,259
260,Magic,118,Timberwolves,124,11/22/2017,260
261,Spurs,90,Pelicans,107,11/22/2017,261
262,Warriors,91,Thunder,108,11/22/2017,262
263,Bucks,113,Suns,107,11/22/2017,263
264,Bulls,80,Jazz,110,11/22/2017,264
265,Lakers,102,Kings,113,11/22/2017,265
266,Trail Blazers,127,Nets,125,11/24/2017,266
267,Knicks,104,Hawks,116,11/24/2017,267
268,Magic,103,Celtics,118,11/24/2017,268
269,Hornets,99,Cavaliers,100,11/24/2017,269
270,Raptors,104,Pacers,107,11/24/2017,270
271,Heat,109,Timberwolves,97,11/24/2017,271
272,Pistons,99,Thunder,98,11/24/2017,272
273,Grizzlies,92,Nuggets,104,11/24/2017,273
274,Pelicans,115,Suns,91,11/24/2017,274
275,Bulls,94,Warriors,143,11/24/2017,275
276,Spurs,106,Hornets,86,11/25/2017,276
277,Magic,111,76ers,130,11/25/2017,277
278,Trail Blazers,108,Wizards,105,11/25/2017,278
279,Raptors,112,Hawks,78,11/25/2017,279
280,Celtics,108,Pacers,98,11/25/2017,280
281,Knicks,102,Rockets,117,11/25/2017,281
282,Thunder,81,Mavericks,97,11/25/2017,282
283,Pelicans,95,Warriors,110,11/25/2017,283
