,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID,Date
0,Boston Celtics,36,88,40.9,8,32,25,19,25,76,9,37,46,24,11,4,10,24,99,-3,0,0,10/17/2017
1,Cleveland Cavaliers,38,83,45.8,5,22,22.7,21,25,84,9,41,50,19,3,4,17,25,102,3,1,0,10/17/2017
2,Houston Rockets,47,97,48.5,15,41,36.6,13,19,68.4,10,33,43,28,9,5,12,16,122,1,0,1,10/17/2017
3,Golden State Warriors,43,80,53.7,16,30,53.3,19,21,90.5,6,35,41,34,5,9,17,25,121,-1,1,1,10/17/2017
4,Charlotte Hornets,29,73,39.7,9,30,30,23,29,79.3,3,44,47,16,4,3,17,15,90,-12,0,2,10/18/2017
5,Detroit Pistons,41,96,42.7,9,26,34.6,11,12,91.7,9,38,47,24,14,3,8,21,102,12,1,2,10/18/2017
6,Brooklyn Nets,45,94,47.9,12,30,40,29,32,90.6,11,32,43,22,7,2,20,25,131,-9,0,3,10/18/2017
7,Indiana Pacers,53,102,52,9,34,26.5,25,32,78.1,14,33,47,29,12,9,14,25,140,9,1,3,10/18/2017
8,Miami Heat,44,101,43.6,8,30,26.7,13,17,76.5,11,33,44,27,6,4,13,20,109,-7,0,4,10/18/2017
9,Orlando Magic,43,90,47.8,8,21,38.1,22,29,75.9,11,39,50,22,8,9,14,18,116,7,1,4,10/18/2017
10,Philadelphia 76ers,43,93,46.2,15,35,42.9,14,19,73.7,11,37,48,25,6,6,17,28,115,-5,0,5,10/18/2017
11,Washington Wizards,42,97,43.3,6,22,27.3,30,38,78.9,16,36,52,21,8,10,9,20,120,5,1,5,10/18/2017
12,Milwaukee Bucks,38,76,50,7,21,33.3,25,30,83.3,6,39,45,19,6,4,15,22,108,8,0,6,10/18/2017
13,Boston Celtics,39,91,42.9,11,28,39.3,11,21,52.4,11,32,43,23,12,2,12,27,100,-8,1,6,10/18/2017
14,New Orleans Pelicans,30,79,38,7,25,28,24,29,82.8,16,35,51,15,4,12,17,31,91,-12,0,7,10/18/2017
15,Memphis Grizzlies,39,92,42.4,9,29,31,16,28,57.1,15,30,45,19,9,8,11,29,103,12,1,7,10/18/2017
16,Atlanta Hawks,48,94,51.1,9,18,50,12,15,80,14,36,50,20,11,6,13,18,117,6,0,8,10/18/2017
17,Dallas Mavericks,38,86,44.2,17,45,37.8,18,21,85.7,9,32,41,27,5,4,15,19,111,-6,1,8,10/18/2017
18,Denver Nuggets,36,77,46.8,13,27,48.1,11,12,91.7,7,31,38,21,4,3,20,18,96,-10,0,9,10/18/2017
19,Utah Jazz,41,81,50.6,9,24,37.5,15,16,93.8,6,30,36,28,9,5,15,18,106,10,1,9,10/18/2017
20,Minnesota Timberwolves,37,85,43.5,8,19,42.1,17,23,73.9,11,31,42,23,7,4,13,16,99,-8,0,10,10/18/2017
21,San Antonio Spurs,41,89,46.1,8,21,38.1,17,19,89.5,12,38,50,22,8,11,11,18,107,8,1,10,10/18/2017
22,Portland Trail Blazers,44,90,48.9,14,24,58.3,22,28,78.6,15,42,57,22,8,7,16,20,124,48,0,11,10/18/2017
23,Phoenix Suns,28,89,31.5,7,27,25.9,13,18,72.2,10,23,33,10,9,8,16,22,76,-48,1,11,10/18/2017
24,Houston Rockets,33,83,39.8,12,45,26.7,27,29,93.1,12,32,44,19,7,3,14,14,105,5,0,12,10/18/2017
25,Sacramento Kings,42,88,47.7,8,23,34.8,8,10,80,9,33,42,19,5,4,17,20,100,-5,1,12,10/18/2017
26,Chicago Bulls,37,89,41.6,10,32,31.3,16,18,88.9,10,29,39,22,7,2,19,23,100,-17,0,13,10/19/2017
27,Toronto Raptors,39,83,47,13,29,44.8,26,28,92.9,13,36,49,26,10,4,17,19,117,17,1,13,10/19/2017
28,New York Knicks,32,79,40.5,7,24,29.2,13,19,68.4,11,30,41,19,8,4,25,23,84,-21,0,14,10/19/2017
29,Oklahoma City Thunder,39,90,43.3,11,38,28.9,16,22,72.7,13,28,41,26,14,7,18,22,105,21,1,14,10/19/2017
30,LA Clippers,42,107,39.3,12,33,36.4,12,13,92.3,17,42,59,23,12,3,14,20,108,16,0,15,10/19/2017
31,Los Angeles Lakers,37,91,40.7,4,16,25,14,23,60.9,12,40,52,21,8,7,19,15,92,-16,1,15,10/19/2017
32,Atlanta Hawks,36,95,37.9,7,30,23.3,12,14,85.7,6,32,38,19,11,4,13,29,91,-18,0,16,10/20/2017
33,Charlotte Hornets,37,86,43,11,36,30.6,24,30,80,12,45,57,17,5,4,21,18,109,18,1,16,10/20/2017
34,Portland Trail Blazers,46,95,48.4,9,19,47.4,13,17,76.5,11,40,51,19,5,6,9,26,114,18,0,17,10/20/2017
35,Indiana Pacers,35,78,44.9,4,18,22.2,22,33,66.7,6,33,39,15,1,4,12,17,96,-18,1,17,10/20/2017
36,Boston Celtics,35,84,41.7,10,29,34.5,22,32,68.8,14,41,55,16,4,5,19,24,102,10,0,18,10/20/2017
37,Philadelphia 76ers,35,92,38,10,32,31.3,12,16,75,14,33,47,20,7,4,16,30,92,-10,1,18,10/20/2017
38,Detroit Pistons,43,87,49.4,10,23,43.5,15,20,75,10,23,33,19,12,1,19,32,111,-4,0,19,10/20/2017
39,Washington Wizards,40,75,53.3,6,17,35.3,29,35,82.9,7,30,37,25,12,7,16,18,115,4,1,19,10/20/2017
40,Cleveland Cavaliers,44,81,54.3,11,26,42.3,17,17,100,9,35,44,25,8,3,17,11,116,19,0,20,10/20/2017
41,Milwaukee Bucks,38,82,46.3,11,35,31.4,10,12,83.3,8,22,30,23,9,2,14,17,97,-19,1,20,10/20/2017
42,Orlando Magic,45,89,50.6,18,33,54.5,13,15,86.7,9,31,40,30,9,3,22,27,121,-5,0,21,10/20/2017
43,Brooklyn Nets,46,92,50,9,27,33.3,25,35,71.4,15,33,48,22,13,6,18,17,126,5,1,21,10/20/2017
44,Utah Jazz,37,77,48.1,9,22,40.9,14,17,82.4,7,31,38,23,10,8,19,21,97,-3,0,22,10/20/2017
45,Minnesota Timberwolves,36,81,44.4,7,22,31.8,21,26,80.8,10,34,44,17,11,2,15,17,100,3,1,22,10/20/2017
46,Sacramento Kings,37,87,42.5,10,23,43.5,9,13,69.2,16,41,57,20,8,3,14,18,93,5,0,23,10/20/2017
47,Dallas Mavericks,31,75,41.3,11,33,33.3,15,21,71.4,7,29,36,19,8,7,12,13,88,-5,1,23,10/20/2017
48,Golden State Warriors,47,91,51.6,18,40,45,16,20,80,10,39,49,29,6,8,18,23,128,8,0,24,10/20/2017
49,New Orleans Pelicans,45,98,45.9,16,36,44.4,14,22,63.6,16,34,50,26,8,4,17,19,120,-8,1,24,10/20/2017
50,Los Angeles Lakers,48,93,51.6,12,26,46.2,24,33,72.7,5,37,42,22,8,3,18,31,132,2,0,25,10/20/2017
51,Phoenix Suns,45,92,48.9,14,29,48.3,26,38,68.4,10,40,50,17,8,9,19,25,130,-2,1,25,10/20/2017
52,Philadelphia 76ers,32,82,39,8,24,33.3,22,36,61.1,8,33,41,18,5,4,20,26,94,-34,0,26,10/21/2017
53,Toronto Raptors,42,89,47.2,13,44,29.5,31,37,83.8,8,43,51,23,5,10,13,29,128,34,1,26,10/21/2017
54,Orlando Magic,40,90,44.4,17,35,48.6,17,20,85,12,38,50,28,7,6,12,28,114,21,0,27,10/21/2017
55,Cleveland Cavaliers,33,86,38.4,7,25,28,20,27,74.1,11,33,44,15,4,7,16,14,93,-21,1,27,10/21/2017
56,Indiana Pacers,43,96,44.8,7,19,36.8,15,21,71.4,13,32,45,18,9,4,10,18,108,-4,0,28,10/21/2017
57,Miami Heat,45,87,51.7,14,34,41.2,8,14,57.1,6,39,45,24,6,11,14,19,112,4,1,28,10/21/2017
58,Detroit Pistons,44,91,48.4,9,30,30,14,15,93.3,15,28,43,21,5,2,12,25,111,4,0,29,10/21/2017
