,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID
0,Los Angeles Lakers,42,82,51.2,8,17,47.1,17,24,70.8,12,39,51,25,2,5,8,22,109,15,0,0
1,Indiana Pacers,38,81,46.9,6,21,28.6,12,16,75.0,4,25,29,23,3,6,6,16,94,-15,1,0
2,Boston Celtics,45,86,52.3,7,14,50.0,21,21,100.0,11,28,39,26,11,2,13,19,118,2,0,1
3,New York Knicks,43,81,53.1,9,23,39.1,21,26,80.8,9,26,35,19,5,5,17,18,116,-2,1,1
4,Los Angeles Clippers,33,83,39.8,5,19,26.3,20,27,74.1,14,34,48,16,3,4,14,18,91,-14,0,2
5,Philadelphia 76ers,40,91,44.0,6,17,35.3,19,23,82.6,16,25,41,22,7,9,3,17,105,14,1,2
6,Chicago Bulls,43,81,53.1,7,18,38.9,17,24,70.8,14,33,47,28,7,8,14,15,110,17,0,3
7,Toronto Raptors,38,86,44.2,3,12,25.0,14,16,87.5,13,24,37,19,5,6,10,20,93,-17,1,3
8,Cleveland Cavaliers,35,87,40.2,9,33,27.3,16,20,80.0,10,28,38,19,6,0,8,28,95,-6,0,4
9,Miami Heat,32,70,45.7,10,23,43.5,27,41,65.9,9,36,45,17,4,8,13,20,101,6,1,4
10,Charlotte Bobcats,28,68,41.2,5,10,50.0,19,26,73.1,5,30,35,15,7,7,20,20,80,-33,0,5
11,Memphis Grizzlies,43,82,52.4,4,15,26.7,23,29,79.3,6,33,39,30,12,6,11,22,113,33,1,5
12,Sacramento Kings,39,84,46.4,6,20,30.0,7,12,58.3,9,32,41,19,5,2,15,25,91,-3,0,6
13,New Orleans Hornets,34,78,43.6,4,11,36.4,22,30,73.3,13,30,43,25,5,6,11,19,94,3,1,6
14,Houston Rockets,38,82,46.3,9,22,40.9,20,28,71.4,9,19,28,22,13,4,10,21,105,-12,0,7
15,Oklahoma City Thunder,41,71,57.7,7,11,63.6,28,29,96.6,8,33,41,25,7,2,16,25,117,12,1,7
16,Milwaukee Bucks,35,79,44.3,6,11,54.5,14,16,87.5,7,33,40,17,8,10,15,18,90,-2,0,8
