,Player,Team,Number,Position,Height,Weight,Last Attended,Country
0,PreciousAchiuwa,TOR,5,F,6-8,225 lbs,Memphis,Nigeria
1,StevenAdams,MEM,4,C,6-11,265 lbs,Pittsburgh,New Zealand
2,BamAdebayo,MIA,13,C-F,6-9,255 lbs,Kentucky,USA
3,SantiAldama,MEM,7,F-C,6-11,215 lbs,Loyola-Maryland,Spain
4,LaMarcusAldridge,BKN,21,C-F,6-11,250 lbs,Texas-Austin,USA
5,NickeilAlexander-Walker,NOP,6,G,6-5,205 lbs,Virginia Tech,Canada
6,GraysonAllen,MIL,7,G,6-4,198 lbs,Duke,USA
7,JarrettAllen,CLE,31,C,6-10,243 lbs,Texas-Austin,USA
8,JoseAlvarado,NOP,15,G,6-0,179 lbs,Georgia Tech,USA
9,KyleAnderson,MEM,1,F-G,6-9,230 lbs,UCLA,USA
10,GiannisAntetokounmpo,MIL,34,F,6-11,242 lbs,Filathlitikos,Greece
11,ThanasisAntetokounmpo,MIL,43,F,6-6,219 lbs,Panathinaikos,Greece
12,CarmeloAnthony,LAL,7,F,6-7,238 lbs,Syracuse,USA
13,ColeAnthony,ORL,50,G,6-3,185 lbs,North Carolina,USA
14,OGAnunoby,TOR,3,F,6-7,232 lbs,Indiana,United Kingdom
15,TrevorAriza,LAL,1,F,6-8,215 lbs,UCLA,USA
16,D.J.Augustin,HOU,14,G,5-11,183 lbs,Texas-Austin,USA
17,DeniAvdija,WAS,9,F,6-9,210 lbs,Maccabi Tel Aviv,Israel
18,JoelAyayi,WAS,17,G,6-4,180 lbs,Gonzaga,France
19,DeandreAyton,PHX,22,C,6-11,250 lbs,Arizona,Bahamas
20,UdokaAzubuike,UTA,20,C-F,6-10,280 lbs,Kansas,Nigeria
21,MarvinBagley III,SAC,35,F,6-11,235 lbs,Duke,USA
22,LaMeloBall,CHA,2,G,6-7,180 lbs,Illawarra,USA
23,LonzoBall,CHI,2,G,6-6,190 lbs,UCLA,USA
24,MoBamba,ORL,5,C,7-0,231 lbs,Texas-Austin,USA
25,DesmondBane,MEM,22,G,6-5,215 lbs,TCU,USA
26,DalanoBanton,TOR,45,F,6-7,204 lbs,Nebraska,Canada
27,HarrisonBarnes,SAC,40,F,6-8,225 lbs,North Carolina,USA
28,ScottieBarnes,TOR,4,F,6-7,225 lbs,Florida State,USA
29,RJBarrett,NYK,9,F-G,6-6,214 lbs,Duke,Canada
30,WillBarton,DEN,5,G,6-5,181 lbs,Memphis,USA
31,CharlesBassey,PHI,23,C-F,6-9,230 lbs,Western Kentucky,Nigeria
32,KeitaBates-Diop,SAS,31,F,6-8,229 lbs,Ohio State,USA
33,NicolasBatum,LAC,33,G-F,6-8,230 lbs,Le Mans,France
34,KentBazemore,LAL,9,G-F,6-4,195 lbs,Old Dominion,USA
35,DariusBazley,OKC,7,F,6-8,208 lbs,Princeton HS (OH),USA
36,BradleyBeal,WAS,3,G,6-4,207 lbs,Florida,USA
37,MalikBeasley,MIN,5,G,6-4,187 lbs,Florida State,USA
38,DeAndre'Bembry,BKN,95,G-F,6-5,210 lbs,St. Joseph's (PA),USA
39,DavisBertans,WAS,42,F,6-10,225 lbs,Baskonia,Latvia
40,PatrickBeverley,MIN,22,G,6-1,180 lbs,Arkansas,USA
41,SaddiqBey,DET,41,F,6-7,215 lbs,Villanova,USA
42,KhemBirch,TOR,24,C,6-9,233 lbs,UNLV,Canada
43,GogaBitadze,IND,88,C-F,7-0,250 lbs,Mega Basket,Georgia
