,Visitor,VisitorScore,Home,HomeScore,Date
0,Rockets,120,Cavaliers,128,2016-11-01
1,Magic,103,76ers,101,2016-11-01
2,Lakers,108,Pacers,115,2016-11-01
3,Kings,96,Heat,108,2016-11-01
4,Knicks,89,Pistons,102,2016-11-01
5,Bucks,117,Pelicans,113,2016-11-01
6,Grizzlies,80,Timberwolves,116,2016-11-01
7,Jazz,106,Spurs,91,2016-11-01
8,Warriors,127,Trail Blazers,104,2016-11-01
9,Raptors,113,Wizards,103,2016-11-02
10,76ers,93,Hornets,109,2016-11-02
11,Pistons,101,Nets,109,2016-11-02
12,Rockets,118,Knicks,99,2016-11-02
13,Lakers,123,Hawks,116,2016-11-02
14,Pelicans,83,Grizzlies,89,2016-11-02
15,Bulls,100,Celtics,107,2016-11-02
16,Mavericks,81,Jazz,97,2016-11-02
17,Trail Blazers,115,Suns,118,2016-11-02
18,Thunder,85,Clippers,83,2016-11-02
19,Kings,94,Magic,102,2016-11-03
20,Pacers,107,Bucks,125,2016-11-03
21,Nuggets,102,Timberwolves,99,2016-11-03
22,Celtics,122,Cavaliers,128,2016-11-03
23,Thunder,96,Warriors,122,2016-11-03
24,Hawks,92,Wizards,95,2016-11-04
25,Heat,87,Raptors,96,2016-11-04
26,Hornets,99,Nets,95,2016-11-04
27,Knicks,117,Bulls,104,2016-11-04
28,Clippers,99,Grizzlies,88,2016-11-04
29,Suns,112,Pelicans,111,2016-11-04
30,Trail Blazers,105,Mavericks,95,2016-11-04
31,Spurs,100,Jazz,86,2016-11-04
32,Warriors,97,Lakers,117,2016-11-04
33,Timberwolves,92,Thunder,112,2016-11-05
34,Cavaliers,102,76ers,101,2016-11-05
35,Wizards,86,Magic,88,2016-11-05
36,Nuggets,86,Pistons,103,2016-11-05
37,Bulls,94,Pacers,111,2016-11-05
38,Rockets,97,Hawks,112,2016-11-05
39,Kings,91,Bucks,117,2016-11-05
40,Clippers,116,Spurs,92,2016-11-05
41,Jazz,114,Knicks,109,2016-11-06
42,Trail Blazers,100,Grizzlies,94,2016-11-06
43,Kings,96,Raptors,91,2016-11-06
44,Bucks,75,Mavericks,86,2016-11-06
45,Nuggets,123,Celtics,107,2016-11-06
46,Suns,108,Lakers,119,2016-11-06
47,Jazz,109,76ers,84,2016-11-07
48,Rockets,114,Wizards,106,2016-11-07
49,Pacers,100,Hornets,122,2016-11-07
50,Magic,80,Bulls,112,2016-11-07
51,Heat,85,Thunder,97,2016-11-07
52,Pistons,82,Clippers,114,2016-11-07
53,Pelicans,106,Warriors,116,2016-11-07
54,Hawks,110,Cavaliers,106,2016-11-08
55,Timberwolves,110,Nets,119,2016-11-08
56,Nuggets,107,Grizzlies,108,2016-11-08
57,Suns,121,Trail Blazers,124,2016-11-08
58,Mavericks,109,Lakers,97,2016-11-08
59,Pelicans,94,Kings,102,2016-11-08
60,Nets,96,Knicks,110,2016-11-09
61,Celtics,93,Wizards,118,2016-11-09
62,Jazz,98,Hornets,104,2016-11-09
63,Timberwolves,123,Magic,107,2016-11-09
64,76ers,115,Pacers,122,2016-11-09
65,Bulls,107,Hawks,115,2016-11-09
66,Raptors,112,Thunder,102,2016-11-09
67,Pistons,100,Suns,107,2016-11-09
68,Rockets,101,Spurs,99,2016-11-09
69,Trail Blazers,80,Clippers,111,2016-11-09
70,Mavericks,95,Warriors,116,2016-11-09
71,Pelicans,112,Bucks,106,2016-11-10
72,Bulls,98,Heat,95,2016-11-10
73,Warriors,125,Nuggets,101,2016-11-10
74,Lakers,101,Kings,91,2016-11-10
75,Pacers,105,76ers,109,2016-11-11
76,Cavaliers,105,Wizards,94,2016-11-11
77,Raptors,113,Hornets,111,2016-11-11
78,Jazz,87,Magic,74,2016-11-11
79,Knicks,87,Celtics,115,2016-11-11
80,Clippers,110,Thunder,108,2016-11-11
81,Pistons,86,Spurs,96,2016-11-11
82,Kings,120,Trail Blazers,122,2016-11-11
83,Lakers,126,Pelicans,99,2016-11-12
84,Celtics,105,Pacers,99,2016-11-12
85,Knicks,107,Raptors,118,2016-11-12
86,76ers,96,Hawks,117,2016-11-12
87,Wizards,95,Bulls,106,2016-11-12
88,Spurs,106,Rockets,100,2016-11-12
89,Clippers,119,Timberwolves,105,2016-11-12
90,Jazz,102,Heat,91,2016-11-12
91,Grizzlies,96,Bucks,106,2016-11-12
92,Pistons,106,Nuggets,95,2016-11-12
93,Nets,122,Suns,104,2016-11-12
94,Hornets,93,Cavaliers,100,2016-11-13
95,Magic,119,Thunder,117,2016-11-13
96,Lakers,99,Timberwolves,125,2016-11-13
97,Suns,120,Warriors,133,2016-11-13
98,Nuggets,105,Trail Blazers,112,2016-11-13
99,Magic,69,Pacers,88,2016-11-14
100,Mavericks,77,Knicks,93,2016-11-14
101,Thunder,88,Pistons,104,2016-11-14
102,Celtics,105,Pelicans,106,2016-11-14
103,76ers,88,Rockets,115,2016-11-14
104,Heat,90,Spurs,94,2016-11-14
105,Grizzlies,102,Jazz,96,2016-11-14
106,Nets,95,Clippers,127,2016-11-14
107,Raptors,117,Cavaliers,121,2016-11-15
108,Hawks,93,Heat,90,2016-11-15
109,Hornets,115,Timberwolves,108,2016-11-15
110,Bulls,113,Trail Blazers,88,2016-11-15
111,Nets,118,Lakers,125,2016-11-15
112,Wizards,102,76ers,109,2016-11-16
113,Pelicans,82,Magic,89,2016-11-16
114,Cavaliers,93,Pacers,103,2016-11-16
115,Mavericks,83,Celtics,90,2016-11-16
116,Pistons,102,Knicks,105,2016-11-16
117,Bucks,100,Hawks,107,2016-11-16
118,Rockets,103,Thunder,105,2016-11-16
119,Warriors,127,Raptors,121,2016-11-16
120,Suns,104,Nuggets,120,2016-11-16
121,Grizzlies,111,Clippers,107,2016-11-16
122,Spurs,110,Kings,105,2016-11-16
123,Knicks,112,Wizards,119,2016-11-17
124,Bucks,73,Heat,96,2016-11-17
125,Trail Blazers,109,Rockets,126,2016-11-17
126,76ers,86,Timberwolves,110,2016-11-17
127,Bulls,85,Jazz,77,2016-11-17
128,Hawks,96,Hornets,100,2016-11-18
129,Suns,116,Pacers,96,2016-11-18
130,Pistons,81,Cavaliers,104,2016-11-18
131,Trail Blazers,101,Pelicans,113,2016-11-18
132,Nets,105,Thunder,124,2016-11-18
133,Warriors,104,Celtics,88,2016-11-18
134,Grizzlies,80,Mavericks,64,2016-11-18
135,Raptors,113,Nuggets,111,2016-11-18
136,Spurs,116,Lakers,107,2016-11-18
137,Clippers,121,Kings,115,2016-11-18
138,Jazz,102,Rockets,111,2016-11-19
139,Hornets,116,Pelicans,121,2016-11-19
140,Heat,114,Wizards,111,2016-11-19
141,Mavericks,87,Magic,95,2016-11-19
142,Celtics,94,Pistons,92,2016-11-19
143,Suns,105,76ers,120,2016-11-19
144,Timberwolves,71,Grizzlies,93,2016-11-19
145,Warriors,124,Bucks,121,2016-11-19
146,Bulls,95,Clippers,102,2016-11-19
147,Hawks,94,Knicks,104,2016-11-20
148,Trail Blazers,129,Nets,109,2016-11-20
149,Pacers,115,Thunder,111,2016-11-20
150,Raptors,99,Kings,102,2016-11-20
151,Jazz,91,Nuggets,105,2016-11-20
152,Bulls,118,Lakers,110,2016-11-20
153,Heat,94,76ers,101,2016-11-21
154,Suns,101,Wizards,106,2016-11-21
155,Grizzlies,105,Hornets,90,2016-11-21
156,Warriors,120,Pacers,83,2016-11-21
157,Rockets,99,Pistons,96,2016-11-21
158,Magic,89,Bucks,93,2016-11-21
159,Celtics,99,Timberwolves,93,2016-11-21
160,Mavericks,91,Spurs,96,2016-11-21
161,Raptors,115,Clippers,123,2016-11-21
162,Trail Blazers,103,Knicks,107,2016-11-22
163,Pelicans,112,Hawks,94,2016-11-22
164,Bulls,107,Nuggets,110,2016-11-22
165,Thunder,109,Lakers,111,2016-11-22
166,Grizzlies,104,76ers,99,2016-11-23
167,Spurs,119,Hornets,114,2016-11-23
168,Suns,92,Magic,87,2016-11-23
169,Trail Blazers,125,Cavaliers,137,2016-11-23
170,Hawks,96,Pacers,85,2016-11-23
171,Celtics,111,Nets,92,2016-11-23
172,Heat,84,Pistons,107,2016-11-23
173,Raptors,115,Rockets,102,2016-11-23
