,Visitor,VisitorScore,Home,HomeScore,Date
0,Celtics,99,Cavaliers,102,2017-10-17
1,Rockets,122,Warriors,121,2017-10-17
2,Hornets,90,Pistons,102,2017-10-18
3,Nets,131,Pacers,140,2017-10-18
4,Heat,109,Magic,116,2017-10-18
5,76ers,115,Wizards,120,2017-10-18
6,Bucks,108,Celtics,100,2017-10-18
7,Pelicans,91,Grizzlies,103,2017-10-18
8,Hawks,117,Mavericks,111,2017-10-18
9,Nuggets,96,Jazz,106,2017-10-18
10,Timberwolves,99,Spurs,107,2017-10-18
11,Trail Blazers,124,Suns,76,2017-10-18
12,Rockets,105,Kings,100,2017-10-18
13,Bulls,100,Raptors,117,2017-10-19
14,Knicks,84,Thunder,105,2017-10-19
15,Clippers,108,Lakers,92,2017-10-19
16,Hawks,91,Hornets,109,2017-10-20
17,Trail Blazers,114,Pacers,96,2017-10-20
18,Celtics,102,76ers,92,2017-10-20
19,Pistons,111,Wizards,115,2017-10-20
20,Cavaliers,116,Bucks,97,2017-10-20
21,Magic,121,Nets,126,2017-10-20
22,Jazz,97,Timberwolves,100,2017-10-20
23,Kings,93,Mavericks,88,2017-10-20
24,Warriors,128,Pelicans,120,2017-10-20
25,Lakers,132,Suns,130,2017-10-20
26,76ers,94,Raptors,128,2017-10-21
27,Magic,114,Cavaliers,93,2017-10-21
28,Pacers,108,Heat,112,2017-10-21
29,Pistons,111,Knicks,107,2017-10-21
30,Spurs,87,Bulls,77,2017-10-21
31,Mavericks,91,Rockets,107,2017-10-21
32,Warriors,101,Grizzlies,111,2017-10-21
33,Trail Blazers,110,Bucks,113,2017-10-21
34,Kings,79,Nuggets,96,2017-10-21
35,Thunder,87,Jazz,96,2017-10-21
36,Suns,88,Clippers,130,2017-10-21
37,Hawks,104,Nets,116,2017-10-22
38,Timberwolves,115,Thunder,113,2017-10-22
39,Pelicans,119,Lakers,112,2017-10-22
40,76ers,97,Pistons,86,2017-10-23
41,Hawks,93,Heat,104,2017-10-23
42,Grizzlies,98,Rockets,90,2017-10-23
43,Hornets,94,Bucks,103,2017-10-23
44,Warriors,133,Mavericks,103,2017-10-23
45,Raptors,97,Spurs,101,2017-10-23
46,Wizards,109,Nuggets,104,2017-10-23
47,Kings,115,Suns,117,2017-10-23
48,Bulls,112,Cavaliers,119,2017-10-24
49,Nets,121,Magic,125,2017-10-24
50,Knicks,89,Celtics,110,2017-10-24
51,Pacers,130,Timberwolves,107,2017-10-24
52,Pelicans,93,Trail Blazers,103,2017-10-24
53,Jazz,84,Clippers,102,2017-10-24
54,Nuggets,93,Hornets,110,2017-10-25
55,Timberwolves,101,Pistons,122,2017-10-25
56,Rockets,105,76ers,104,2017-10-25
57,Cavaliers,107,Nets,112,2017-10-25
58,Spurs,117,Heat,100,2017-10-25
59,Pacers,96,Thunder,114,2017-10-25
60,Grizzlies,94,Mavericks,103,2017-10-25
61,Jazz,88,Suns,97,2017-10-25
62,Raptors,112,Warriors,117,2017-10-25
63,Wizards,99,Lakers,102,2017-10-25
64,Hawks,86,Bulls,91,2017-10-26
65,Mavericks,91,Grizzlies,96,2017-10-26
66,Celtics,96,Bucks,89,2017-10-26
67,Clippers,104,Trail Blazers,103,2017-10-26
68,Pelicans,114,Kings,106,2017-10-26
69,Rockets,109,Hornets,93,2017-10-27
70,Spurs,87,Magic,114,2017-10-27
71,Nuggets,105,Hawks,100,2017-10-27
72,Nets,86,Knicks,107,2017-10-27
73,Thunder,116,Timberwolves,119,2017-10-27
74,Wizards,117,Warriors,120,2017-10-27
75,Raptors,101,Lakers,92,2017-10-27
76,Cavaliers,101,Pelicans,123,2017-10-28
77,Celtics,96,Heat,90,2017-10-28
78,Thunder,101,Bulls,69,2017-10-28
79,Rockets,89,Grizzlies,103,2017-10-28
80,76ers,112,Mavericks,110,2017-10-28
81,Lakers,81,Jazz,96,2017-10-28
82,Suns,107,Trail Blazers,114,2017-10-28
83,Pistons,95,Clippers,87,2017-10-28
84,Bucks,117,Hawks,106,2017-10-29
85,Spurs,94,Pacers,97,2017-10-29
86,Nuggets,124,Nets,111,2017-10-29
87,Magic,113,Hornets,120,2017-10-29
88,Wizards,110,Kings,83,2017-10-29
89,Knicks,114,Cavaliers,95,2017-10-29
90,Pistons,115,Warriors,107,2017-10-29
91,Spurs,94,Celtics,108,2017-10-30
92,Timberwolves,125,Heat,122,2017-10-30
93,Nuggets,110,Knicks,116,2017-10-30
94,76ers,115,Rockets,107,2017-10-30
95,Hornets,104,Grizzlies,99,2017-10-30
96,Magic,115,Pelicans,99,2017-10-30
97,Mavericks,89,Jazz,104,2017-10-30
98,Raptors,99,Trail Blazers,85,2017-10-30
99,Warriors,141,Clippers,113,2017-10-30
100,Kings,83,Pacers,101,2017-10-31
101,Suns,122,Nets,114,2017-10-31
102,Thunder,110,Bucks,91,2017-10-31
103,Pistons,93,Lakers,113,2017-10-31
104,Bucks,121,Hornets,126,2017-11-01
105,Pacers,124,Cavaliers,107,2017-11-01
106,Hawks,109,76ers,119,2017-11-01
107,Suns,122,Wizards,116,2017-11-01
108,Kings,86,Celtics,113,2017-11-01
109,Bulls,91,Heat,97,2017-11-01
110,Rockets,119,Knicks,97,2017-11-01
111,Magic,101,Grizzlies,99,2017-11-01
112,Timberwolves,104,Pelicans,98,2017-11-01
113,Raptors,111,Nuggets,129,2017-11-01
114,Trail Blazers,103,Jazz,112,2017-11-01
115,Mavericks,98,Clippers,119,2017-11-01
116,Warriors,112,Spurs,92,2017-11-02
117,Lakers,110,Trail Blazers,113,2017-11-02
118,Bucks,96,Pistons,105,2017-11-03
119,Bulls,105,Magic,83,2017-11-03
120,Pacers,110,76ers,121,2017-11-03
121,Cavaliers,130,Wizards,122,2017-11-03
122,Rockets,119,Hawks,104,2017-11-03
123,Suns,107,Knicks,120,2017-11-03
124,Pelicans,99,Mavericks,94,2017-11-03
125,Hornets,101,Spurs,108,2017-11-03
126,Heat,94,Nuggets,95,2017-11-03
127,Raptors,109,Jazz,100,2017-11-03
128,Celtics,101,Thunder,94,2017-11-03
129,Nets,112,Lakers,124,2017-11-03
130,Grizzlies,113,Clippers,104,2017-11-04
131,Kings,99,Pistons,108,2017-11-04
132,Pelicans,96,Bulls,90,2017-11-04
133,Mavericks,99,Timberwolves,112,2017-11-04
134,Warriors,127,Nuggets,108,2017-11-04
135,Hawks,117,Cavaliers,115,2017-11-05
136,Heat,104,Clippers,101,2017-11-05
137,Celtics,104,Magic,88,2017-11-05
138,Wizards,107,Raptors,96,2017-11-05
139,Jazz,110,Rockets,137,2017-11-05
140,Suns,95,Spurs,112,2017-11-05
141,Pacers,101,Knicks,108,2017-11-05
142,Hornets,94,Timberwolves,112,2017-11-05
143,Thunder,99,Trail Blazers,103,2017-11-05
144,Grizzlies,102,Lakers,107,2017-11-05
145,Celtics,110,Hawks,107,2017-11-06
146,Nets,98,Suns,92,2017-11-06
147,Heat,80,Warriors,97,2017-11-06
148,Bucks,119,Cavaliers,124,2017-11-07
149,Pelicans,117,Pacers,112,2017-11-07
150,Mavericks,113,Wizards,99,2017-11-07
151,Hornets,113,Knicks,118,2017-11-07
152,Bulls,114,Raptors,119,2017-11-07
153,Clippers,107,Spurs,120,2017-11-07
154,Nets,104,Nuggets,112,2017-11-07
155,76ers,104,Jazz,97,2017-11-07
156,Grizzlies,98,Trail Blazers,97,2017-11-07
157,Thunder,86,Kings,94,2017-11-07
158,Pacers,97,Pistons,114,2017-11-08
159,Knicks,99,Magic,112,2017-11-08
160,Lakers,96,Celtics,107,2017-11-08
161,Heat,126,Suns,115,2017-11-08
162,Timberwolves,101,Warriors,125,2017-11-08
