,Visitor,VisitorScore,Home,HomeScore,Date
0,Lakers,109,Pacers,94,12/15/2010
1,Celtics,118,Knicks,116,12/15/2010
2,Clippers,91,76ers,105,12/15/2010
3,Bulls,110,Raptors,93,12/15/2010
4,Cavaliers,95,Heat,101,12/15/2010
5,Bobcats,80,Grizzlies,113,12/15/2010
6,Kings,91,Hornets,94,12/15/2010
7,Rockets,105,Thunder,117,12/15/2010
8,Bucks,90,Spurs,92,12/15/2010
9,Timberwolves,122,Suns,128,12/15/2010
10,Trail Blazers,98,Mavericks,103,12/15/2010
11,Wizards,89,Nets,97,12/16/2010
12,Hawks,90,Celtics,102,12/16/2010
13,Spurs,113,Nuggets,112,12/16/2010
14,Cavaliers,99,Pacers,108,12/17/2010
15,Heat,113,Knicks,91,12/17/2010
16,Lakers,93,76ers,81,12/17/2010
17,Nets,92,Raptors,98,12/17/2010
18,Bobcats,85,Hawks,90,12/17/2010
19,Clippers,109,Pistons,88,12/17/2010
20,Jazz,71,Hornets,100,12/17/2010
21,Kings,87,Thunder,102,12/17/2010
22,Grizzlies,87,Rockets,103,12/17/2010
23,Suns,91,Mavericks,106,12/17/2010
24,Timberwolves,102,Trail Blazers,107,12/17/2010
25,76ers,97,Magic,89,12/18/2010
26,Heat,95,Wizards,94,12/18/2010
27,Knicks,102,Cavaliers,109,12/18/2010
28,Clippers,100,Bulls,99,12/18/2010
29,Jazz,95,Bucks,86,12/18/2010
30,Grizzlies,106,Spurs,112,12/18/2010
31,Timberwolves,113,Nuggets,115,12/18/2010
32,Warriors,95,Trail Blazers,96,12/18/2010
33,Pacers,88,Celtics,99,12/19/2010
34,Hawks,82,Nets,89,12/19/2010
35,Lakers,120,Raptors,110,12/19/2010
36,Hornets,108,Pistons,111,12/19/2010
37,Rockets,102,Kings,93,12/19/2010
38,Suns,113,Thunder,110,12/19/2010
39,Magic,81,Hawks,91,12/20/2010
40,Jazz,101,Cavaliers,90,12/20/2010
41,Hornets,93,Pacers,94,12/20/2010
42,Bobcats,75,Wizards,108,12/20/2010
43,Mavericks,98,Heat,96,12/20/2010
44,Suns,110,Spurs,118,12/20/2010
45,Bucks,80,Trail Blazers,106,12/20/2010
46,Rockets,121,Warriors,112,12/20/2010
47,Timberwolves,90,Clippers,113,12/20/2010
48,Thunder,99,Bobcats,81,12/21/2010
49,Mavericks,105,Magic,99,12/21/2010
50,76ers,76,Bulls,121,12/21/2010
51,Nets,101,Grizzlies,94,12/21/2010
52,Warriors,117,Kings,109,12/21/2010
53,Bucks,98,Lakers,79,12/21/2010
54,Cavaliers,84,Hawks,98,12/22/2010
55,Pistons,115,Raptors,93,12/22/2010
56,Bulls,87,Wizards,80,12/22/2010
