,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
0,Rajon Rondo,Boston Celtics,34:09,5,10,50.0,0,2,0.0,0,0,0.0,2,1,3,14,1,0,6,1,10,-8,1
1,Danilo Gallinari,New York Knicks,42:35,8,14,57.1,1,3,33.3,3,6,50.0,1,2,3,3,0,0,1,3,20,1,1
2,Blake Griffin,Los Angeles Clippers,39:08,6,16,37.5,0,0,0.0,8,11,72.7,5,13,18,5,1,1,2,2,20,-17,2
3,DeAndre Jordan,Los Angeles Clippers,35:29,7,7,100,0,0,0.0,1,2,50.0,0,6,6,0,0,3,0,4,15,1,2
4,Eric Gordon,Los Angeles Clippers,37:08,6,18,33.3,1,5,20.0,3,6,50.0,5,0,5,4,0,0,5,1,16,-23,2
5,Eric Bledsoe,Los Angeles Clippers,16:07,2,9,22.2,0,2,0.0,2,2,100,1,2,3,1,1,0,1,2,6,-15,2
6,Andre Iguodala,Philadelphia 76ers,41:15,8,10,80.0,1,1,100,3,3,100,0,4,4,5,0,1,0,3,20,24,2
7,Jrue Holiday,Philadelphia 76ers,39:02,10,20,50.0,3,6,50.0,1,1,100,2,4,6,5,1,0,1,0,24,8,2
8,Thaddeus Young,Philadelphia 76ers,24:29,6,10,60.0,0,0,0.0,0,0,0.0,4,1,5,2,0,0,0,3,12,4,2
9,Lou Williams,Philadelphia 76ers,21:03,1,9,11.1,0,4,0.0,4,5,80.0,0,1,1,4,1,0,0,2,6,-1,2
10,Derrick Rose,Chicago Bulls,29:37,3,9,33.3,0,2,0.0,0,0,0.0,2,1,3,11,2,0,5,0,6,22,3
11,Taj Gibson,Chicago Bulls,30:56,3,11,27.3,0,1,0.0,0,0,0.0,3,3,6,1,1,4,2,1,6,0,3
12,Ed Davis,Toronto Raptors,32:15,5,9,55.6,0,0,0.0,0,0,0.0,5,5,10,2,1,1,1,3,10,-24,3
13,DeMar DeRozan,Toronto Raptors,30:43,4,12,33.3,0,0,0.0,4,4,100,0,0,0,0,2,1,1,3,12,-19,3
14,LeBron James,Miami Heat,38:31,5,15,33.3,0,4,0.0,11,18,61.1,2,11,13,5,1,0,4,1,21,0,4
15,D.J. Augustin,Charlotte Bobcats,35:03,3,8,37.5,2,3,66.7,2,2,100,1,4,5,7,3,0,2,1,10,-24,5
16,Rudy Gay,Memphis Grizzlies,36:46,8,15,53.3,1,4,25.0,6,6,100,1,5,6,5,0,2,1,1,23,20,5
17,Mike Conley,Memphis Grizzlies,29:56,2,6,33.3,0,2,0.0,2,2,100,0,3,3,9,4,0,3,2,6,17,5
18,Trevor Ariza,New Orleans Hornets,19:58,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,1,0,-19,6
19,Chris Paul,New Orleans Hornets,37:31,5,11,45.5,0,0,0.0,12,13,92.3,0,3,3,11,1,0,0,2,22,4,6
20,Kyle Lowry,Houston Rockets,34:40,5,11,45.5,1,3,33.3,4,4,100,0,4,4,3,3,0,1,5,15,-3,7
