,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
0,Carmelo Anthony,New York Knicks,30:05:00,8,18,44.4,1,4,25,2,2,100,1,4,5,3,1,0,4,5,19,-19,0
1,Kristaps Porzingis,New York Knicks,32:48:00,5,13,38.5,3,5,60,3,6,50,4,3,7,0,1,2,2,5,16,-21,0
2,Derrick Rose,New York Knicks,29:35:00,7,17,41.2,1,2,50,2,2,100,2,1,3,1,0,1,4,1,17,-19,0
3,Justin Holiday,New York Knicks,26:27:00,2,7,28.6,2,3,66.7,2,2,100,1,5,6,2,1,0,0,0,8,-14,0
4,Willy Hernangomez,New York Knicks,9:26,2,3,66.7,0,0,0,0,0,0,1,0,1,0,0,0,1,1,4,-3,0
5,LeBron James,Cleveland Cavaliers,32:23:00,9,14,64.3,0,3,0,1,2,50,3,8,11,14,0,1,4,3,19,26,0
6,Kevin Love,Cleveland Cavaliers,24:59:00,6,15,40,2,6,33.3,9,12,75,2,10,12,2,3,0,2,3,23,24,0
7,Tristan Thompson,Cleveland Cavaliers,22:25,0,1,0,0,0,0,0,0,0,2,4,6,0,0,0,2,4,0,17,0
8,Kyrie Irving,Cleveland Cavaliers,29:48:00,12,22,54.5,4,7,57.1,1,1,100,1,1,2,4,2,0,0,1,29,13,0
9,Rudy Gobert,Utah Jazz,40:57:00,4,7,57.1,0,0,0,4,4,100,4,10,14,2,0,2,3,3,12,7,1
10,Rodney Hood,Utah Jazz,37:39:00,9,17,52.9,3,7,42.9,5,5,100,0,2,2,1,2,1,0,3,26,5,1
11,George Hill,Utah Jazz,38:45:00,7,18,38.9,1,6,16.7,4,4,100,0,2,2,6,2,1,1,2,19,2,1
12,Joe Ingles,Utah Jazz,14:06,1,1,100,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,-9,1
13,Trey Lyles,Utah Jazz,17:55,2,6,33.3,1,2,50,0,0,0,0,2,2,2,0,0,3,0,5,-11,1
