,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
0,Trevor Ariza,Houston Rockets,31:29,4,11,36.4,3,10,30.0,0,0,0.0,0,1,1,2,0,0,1,3,11,-11,0
1,Clint Capela,Houston Rockets,18:31,3,5,60.0,0,0,0.0,2,3,66.7,1,3,4,1,0,1,1,3,8,-11,0
2,Eric Gordon,Houston Rockets,32:59,6,13,46.2,4,9,44.4,0,0,0.0,0,2,2,3,2,0,2,5,16,-12,0
3,James Harden,Houston Rockets,38:10,13,20,65.0,5,9,55.6,10,14,71.4,1,6,7,15,1,0,1,3,41,10,0
4,Sam Dekker,Houston Rockets,14:00,3,8,37.5,0,3,0.0,0,0,0.0,1,2,3,1,0,0,0,1,6,7,0
5,LeBron James,Cleveland Cavaliers,35:51,6,12,50.0,1,3,33.3,6,10,60.0,3,10,13,8,0,0,4,4,19,15,0
6,Kevin Love,Cleveland Cavaliers,30:32,9,16,56.3,1,2,50.0,5,5,100,1,4,5,0,2,1,2,1,24,3,0
7,Tristan Thompson,Cleveland Cavaliers,26:34,2,2,100,0,0,0.0,0,0,0.0,6,4,10,3,0,1,0,4,4,-4,0
8,Kyrie Irving,Cleveland Cavaliers,34:47,10,19,52.6,4,6,66.7,8,8,100,1,1,2,4,0,0,3,1,32,-2,0
9,Aaron Gordon,Orlando Magic,31:38,3,10,30.0,0,4,0.0,1,1,100,1,1,2,4,3,0,2,1,7,11,1
10,Serge Ibaka,Orlando Magic,32:13,8,12,66.7,1,2,50.0,4,4,100,2,2,4,0,0,2,0,3,21,8,1
11,Nikola Vucevic,Orlando Magic,31:25,11,16,68.8,0,0,0.0,2,3,66.7,5,9,14,4,1,1,1,4,24,21,1
12,Evan Fournier,Orlando Magic,37:13,6,17,35.3,3,6,50.0,2,2,100,0,5,5,5,1,0,2,2,17,11,1
13,Elfrid Payton,Orlando Magic,38:09,8,17,47.1,1,3,33.3,1,3,33.3,0,3,3,10,2,1,2,0,18,19,1
14,Jeff Green,Orlando Magic,11:45,1,5,20.0,0,2,0.0,0,0,0.0,0,2,2,0,0,1,0,1,2,-16,1
15,D.J. Augustin,Orlando Magic,12:30,4,10,40.0,1,6,16.7,0,0,0.0,0,0,0,1,0,0,0,0,9,-12,1
16,Robert Covington,Philadelphia 76ers,27:49,0,6,0.0,0,4,0.0,0,0,0.0,0,5,5,1,3,2,1,3,0,-6,1
17,Dario Saric,Philadelphia 76ers,31:29,9,14,64.3,3,3,100,0,0,0.0,1,2,3,1,1,0,3,2,21,5,1
