,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID,Date,WIN
0,Lakers,42,82.0,51.2,8,17.0,47.1,17,24.0,70.8,12,39,51,25,2,5,8,22,109,15.0,0,0,2010-12-15,1
1,Pacers,38,81.0,46.9,6,21.0,28.6,12,16.0,75.0,4,25,29,23,3,6,6,16,94,-15.0,1,0,2010-12-15,0
2,Celtics,45,86.0,52.3,7,14.0,50.0,21,21.0,100.0,11,28,39,26,11,2,13,19,118,2.0,0,1,2010-12-15,1
3,Knicks,43,81.0,53.1,9,23.0,39.1,21,26.0,80.8,9,26,35,19,5,5,17,18,116,-2.0,1,1,2010-12-15,0
4,Clippers,33,83.0,39.8,5,19.0,26.3,20,27.0,74.1,14,34,48,16,3,4,14,18,91,-14.0,0,2,2010-12-15,0
5,76ers,40,91.0,44.0,6,17.0,35.3,19,23.0,82.6,16,25,41,22,7,9,3,17,105,14.0,1,2,2010-12-15,1
6,Bulls,43,81.0,53.1,7,18.0,38.9,17,24.0,70.8,14,33,47,28,7,8,14,15,110,17.0,0,3,2010-12-15,1
7,Raptors,38,86.0,44.2,3,12.0,25.0,14,16.0,87.5,13,24,37,19,5,6,10,20,93,-17.0,1,3,2010-12-15,0
8,Cavaliers,35,87.0,40.2,9,33.0,27.3,16,20.0,80.0,10,28,38,19,6,0,8,28,95,-6.0,0,4,2010-12-15,0
9,Heat,32,70.0,45.7,10,23.0,43.5,27,41.0,65.9,9,36,45,17,4,8,13,20,101,6.0,1,4,2010-12-15,1
10,Hornets,28,68.0,41.2,5,10.0,50.0,19,26.0,73.1,5,30,35,15,7,7,20,20,80,-33.0,0,5,2010-12-15,0
11,Grizzlies,43,82.0,52.4,4,15.0,26.7,23,29.0,79.3,6,33,39,30,12,6,11,22,113,33.0,1,5,2010-12-15,1
12,Kings,39,84.0,46.4,6,20.0,30.0,7,12.0,58.3,9,32,41,19,5,2,15,25,91,-3.0,0,6,2010-12-15,0
13,Pelicans,34,78.0,43.6,4,11.0,36.4,22,30.0,73.3,13,30,43,25,5,6,11,19,94,3.0,1,6,2010-12-15,1
14,Rockets,38,82.0,46.3,9,22.0,40.9,20,28.0,71.4,9,19,28,22,13,4,10,21,105,-12.0,0,7,2010-12-15,0
