,Visitor,VisitorScore,Home,HomeScore,Date,GAMEID
0,Knicks,88,Cavaliers,117,2016-10-25,0
1,Jazz,104,Trail Blazers,113,2016-10-25,1
2,Spurs,129,Warriors,100,2016-10-25,2
3,Heat,108,Magic,96,2016-10-26,3
4,Mavericks,121,Pacers,130,2016-10-26,4
5,Nets,117,Celtics,122,2016-10-26,5
6,Pistons,91,Raptors,109,2016-10-26,6
7,Hornets,107,Bucks,96,2016-10-26,7
8,Timberwolves,98,Grizzlies,102,2016-10-26,8
9,Nuggets,107,Pelicans,102,2016-10-26,9
10,Thunder,103,76ers,97,2016-10-26,10
11,Kings,113,Suns,94,2016-10-26,11
12,Rockets,114,Lakers,120,2016-10-26,12
13,Wizards,99,Hawks,114,2016-10-27,13
14,Celtics,99,Bulls,105,2016-10-27,14
15,Spurs,102,Kings,94,2016-10-27,15
16,Clippers,114,Trail Blazers,106,2016-10-27,16
17,Cavaliers,94,Raptors,91,2016-10-28,17
18,Pacers,94,Nets,103,2016-10-28,18
19,Magic,82,Pistons,108,2016-10-28,19
20,Suns,110,Thunder,113,2016-10-28,20
21,Hornets,97,Heat,91,2016-10-28,21
22,Rockets,106,Mavericks,98,2016-10-28,22
23,Lakers,89,Jazz,96,2016-10-28,23
24,Warriors,122,Pelicans,114,2016-10-28,24
25,Hawks,104,76ers,72,2016-10-29,25
26,Celtics,104,Hornets,98,2016-10-29,26
27,Grizzlies,104,Knicks,111,2016-10-29,27
28,Magic,99,Cavaliers,105,2016-10-29,28
29,Pacers,101,Bulls,118,2016-10-29,29
30,Nets,108,Bucks,110,2016-10-29,30
31,Pelicans,79,Spurs,98,2016-10-29,31
32,Trail Blazers,115,Nuggets,113,2016-10-29,32
33,Timberwolves,103,Kings,106,2016-10-29,33
34,Jazz,75,Clippers,88,2016-10-30,34
35,Warriors,106,Suns,100,2016-10-30,35
36,Spurs,106,Heat,99,2016-10-30,36
37,Bucks,83,Pistons,98,2016-10-30,37
38,Lakers,96,Thunder,113,2016-10-30,38
39,Wizards,103,Grizzlies,112,2016-10-30,39
40,Mavericks,92,Rockets,93,2016-10-30,40
41,Nuggets,102,Raptors,105,2016-10-31,41
42,Bulls,118,Nets,88,2016-10-31,42
43,Kings,95,Hawks,106,2016-10-31,43
44,Suns,98,Clippers,116,2016-10-31,44
45,Rockets,120,Cavaliers,128,2016-11-01,45
46,Magic,103,76ers,101,2016-11-01,46
47,Lakers,108,Pacers,115,2016-11-01,47
48,Kings,96,Heat,108,2016-11-01,48
49,Knicks,89,Pistons,102,2016-11-01,49
50,Bucks,117,Pelicans,113,2016-11-01,50
51,Grizzlies,80,Timberwolves,116,2016-11-01,51
52,Jazz,106,Spurs,91,2016-11-01,52
