,Visitor,VisitorScore,Home,HomeScore,Date,GAMEID
0,Wizards,84,Cavaliers,94,2012-10-30,0
1,Celtics,107,Heat,120,2012-10-30,1
2,Mavericks,99,Lakers,91,2012-10-30,2
3,Pacers,90,Raptors,88,2012-10-31,3
4,Nuggets,75,76ers,84,2012-10-31,4
5,Rockets,105,Pistons,96,2012-10-31,5
6,Kings,87,Bulls,93,2012-10-31,6
7,Spurs,99,Hornets,95,2012-10-31,7
8,Mavericks,94,Jazz,113,2012-10-31,8
9,Warriors,87,Suns,85,2012-10-31,9
10,Grizzlies,92,Clippers,101,2012-10-31,10
11,Lakers,106,Trail Blazers,116,2012-10-31,11
12,Thunder,84,Spurs,86,2012-11-01,12
13,Pacers,89,Bobcats,90,2012-11-02,13
14,Nuggets,89,Magic,102,2012-11-02,14
15,Bucks,99,Celtics,88,2012-11-02,15
16,Rockets,109,Hawks,102,2012-11-02,16
17,Bulls,115,Cavaliers,86,2012-11-02,17
18,Heat,84,Knicks,104,2012-11-02,18
19,Jazz,86,Hornets,88,2012-11-02,19
20,Trail Blazers,92,Thunder,106,2012-11-02,20
21,Kings,80,Timberwolves,92,2012-11-02,21
22,Pistons,89,Suns,92,2012-11-02,22
23,Clippers,105,Lakers,95,2012-11-02,23
24,Grizzlies,104,Warriors,94,2012-11-02,24
25,Celtics,89,Wizards,86,2012-11-03,25
26,Kings,98,Pacers,106,2012-11-03,26
27,Raptors,100,Nets,107,2012-11-03,27
28,Nuggets,116,Heat,119,2012-11-03,28
29,Hornets,89,Bulls,82,2012-11-03,29
30,Trail Blazers,95,Rockets,85,2012-11-03,30
31,Cavaliers,102,Bucks,105,2012-11-03,31
32,Bobcats,99,Mavericks,126,2012-11-03,32
33,Jazz,100,Spurs,110,2012-11-03,33
34,Warriors,114,Clippers,110,2012-11-03,34
35,76ers,84,Knicks,100,2012-11-04,35
36,Timberwolves,86,Raptors,105,2012-11-04,36
37,Suns,94,Magic,115,2012-11-04,37
38,Hawks,104,Thunder,95,2012-11-04,38
39,Pistons,79,Lakers,108,2012-11-04,39
40,Knicks,110,76ers,88,2012-11-05,40
41,Timberwolves,107,Nets,96,2012-11-05,41
42,Suns,99,Heat,124,2012-11-05,42
43,Jazz,94,Grizzlies,103,2012-11-05,43
44,Trail Blazers,91,Mavericks,114,2012-11-05,44
45,Pacers,79,Spurs,101,2012-11-05,45
46,Warriors,92,Kings,94,2012-11-05,46
47,Cavaliers,108,Clippers,101,2012-11-05,47
48,Magic,93,Bulls,99,2012-11-06,48
49,Raptors,88,Thunder,108,2012-11-06,49
50,Pistons,97,Nuggets,109,2012-11-06,50
51,Suns,117,Bobcats,110,2012-11-07,51
52,Wizards,94,Celtics,100,2012-11-07,52
53,Pacers,86,Hawks,89,2012-11-07,53
54,Nets,73,Heat,103,2012-11-07,54
55,Grizzlies,108,Bucks,90,2012-11-07,55
56,76ers,77,Hornets,62,2012-11-07,56
57,Nuggets,93,Rockets,87,2012-11-07,57
58,Magic,75,Timberwolves,90,2012-11-07,58
59,Raptors,104,Mavericks,109,2012-11-07,59
60,Lakers,86,Jazz,95,2012-11-07,60
61,Pistons,103,Kings,105,2012-11-07,61
62,Spurs,84,Clippers,106,2012-11-07,62
63,Cavaliers,96,Warriors,106,2012-11-07,63
64,Thunder,97,Bulls,91,2012-11-08,64
65,Clippers,103,Trail Blazers,90,2012-11-08,65
66,Bucks,101,Wizards,91,2012-11-09,66
67,Nets,107,Magic,68,2012-11-09,67
68,76ers,106,Celtics,100,2012-11-09,68
69,Mavericks,94,Knicks,104,2012-11-09,69
70,Heat,95,Hawks,89,2012-11-09,70
71,Rockets,85,Grizzlies,93,2012-11-09,71
72,Bobcats,99,Hornets,107,2012-11-09,72
73,Pistons,94,Thunder,105,2012-11-09,73
74,Pacers,94,Timberwolves,96,2012-11-09,74
75,Cavaliers,105,Suns,107,2012-11-09,75
76,Spurs,97,Kings,86,2012-11-09,76
77,Jazz,84,Nuggets,104,2012-11-09,77
78,Warriors,77,Lakers,101,2012-11-09,78
79,76ers,93,Raptors,83,2012-11-10,79
80,Wizards,85,Pacers,89,2012-11-10,80
81,Mavericks,97,Bobcats,101,2012-11-10,81
82,Timberwolves,80,Bulls,87,2012-11-10,82
83,Pistons,82,Rockets,96,2012-11-10,83
84,Celtics,96,Bucks,92,2012-11-10,84
85,Suns,81,Jazz,94,2012-11-10,85
86,Spurs,112,Trail Blazers,109,2012-11-10,86
87,Nuggets,107,Warriors,101,2012-11-10,87
88,Magic,74,Nets,82,2012-11-11,88
89,Hawks,76,Clippers,89,2012-11-11,89
90,Heat,86,Grizzlies,104,2012-11-11,90
91,Cavaliers,91,Thunder,106,2012-11-11,91
92,Kings,90,Lakers,103,2012-11-11,92
93,Jazz,140,Raptors,133,2012-11-12,93
94,Bucks,105,76ers,96,2012-11-12,94
95,Thunder,92,Pistons,90,2012-11-12,95
96,Celtics,101,Bulls,95,2012-11-12,96
97,Heat,113,Rockets,110,2012-11-12,97
98,Timberwolves,90,Mavericks,82,2012-11-12,98
99,Nuggets,100,Suns,110,2012-11-12,99
100,Hawks,95,Trail Blazers,87,2012-11-12,100
101,Wizards,76,Bobcats,92,2012-11-13,101
102,Knicks,99,Magic,89,2012-11-13,102
103,Raptors,74,Pacers,72,2012-11-13,103
104,Cavaliers,101,Nets,114,2012-11-13,104
