,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID,Date
0,Dario Saric,Philadelphia 76ers,22:54,3,8,37.5,0,4,0.0,0,0,0.0,0,6,6,1,0,0,3,5,6,-4,0,2018-10-16
1,Robert Covington,Philadelphia 76ers,34:13,3,10,30.0,2,7,28.6,0,0,0.0,1,5,6,0,2,1,2,1,8,-11,0,2018-10-16
2,Joel Embiid,Philadelphia 76ers,36:49,9,21,42.9,1,4,25.0,4,5,80.0,2,8,10,2,1,2,5,3,23,-8,0,2018-10-16
3,Markelle Fultz,Philadelphia 76ers,24:20,2,7,28.6,0,0,0.0,1,2,50.0,0,3,3,2,1,0,3,1,5,-16,0,2018-10-16
4,Ben Simmons,Philadelphia 76ers,42:44,7,14,50.0,0,0,0.0,5,10,50.0,3,12,15,8,4,2,3,5,19,-8,0,2018-10-16
5,T.J. McConnell,Philadelphia 76ers,22:26,2,5,40.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,3,4,-11,0,2018-10-16
6,Landry Shamet,Philadelphia 76ers,12:43,0,4,0.0,0,2,0.0,1,2,50.0,0,1,1,0,0,0,0,0,1,-8,0,2018-10-16
7,Furkan Korkmaz,Philadelphia 76ers,1:27,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,0,2018-10-16
8,Jayson Tatum,Boston Celtics,28:56,9,17,52.9,1,5,20.0,4,5,80.0,2,7,9,3,1,0,1,2,23,6,0,2018-10-16
9,Gordon Hayward,Boston Celtics,24:37,4,12,33.3,1,3,33.3,1,2,50.0,2,3,5,0,4,0,0,1,10,10,0,2018-10-16
10,Al Horford,Boston Celtics,29:57,4,7,57.1,0,1,0.0,1,1,100,0,4,4,2,0,4,3,1,9,9,0,2018-10-16
11,Jaylen Brown,Boston Celtics,28:23,5,13,38.5,1,3,33.3,1,2,50.0,3,2,5,2,0,0,2,4,12,11,0,2018-10-16
12,Kyrie Irving,Boston Celtics,29:00,2,14,14.3,1,8,12.5,2,2,100,0,4,4,7,0,0,3,1,7,9,0,2018-10-16
13,Terry Rozier,Boston Celtics,26:31,5,10,50.0,1,2,50.0,0,0,0.0,0,8,8,1,0,1,1,0,11,22,0,2018-10-16
14,Marcus Smart,Boston Celtics,25:00,2,4,50.0,2,4,50.0,1,2,50.0,0,3,3,3,0,0,2,2,7,3,0,2018-10-16
15,Daniel Theis,Boston Celtics,4:08,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,3,0,2018-10-16
16,Semi Ojeleye,Boston Celtics,1:27,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,0,2018-10-16
17,Brad Wanamaker,Boston Celtics,0:50,1,1,100,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,2,0,2018-10-16
18,Paul George,Oklahoma City Thunder,37:24,9,23,39.1,4,12,33.3,5,8,62.5,0,2,2,5,4,0,5,3,27,-16,1,2018-10-16
19,Steven Adams,Oklahoma City Thunder,35:36,6,12,50.0,0,0,0.0,5,8,62.5,4,7,11,4,2,0,2,3,17,-6,1,2018-10-16
20,Dennis Schroder,Oklahoma City Thunder,34:05,7,19,36.8,2,6,33.3,5,6,83.3,2,6,8,6,3,1,3,4,21,-7,1,2018-10-16
21,Jerami Grant,Oklahoma City Thunder,29:06,2,7,28.6,1,4,25.0,2,4,50.0,2,0,2,2,0,3,0,1,7,-11,1,2018-10-16
22,Nerlens Noel,Oklahoma City Thunder,12:24,1,2,50.0,0,0,0.0,1,2,50.0,3,4,7,1,1,1,0,3,3,-2,1,2018-10-16
23,Hamidou Diallo,Oklahoma City Thunder,8:37,2,4,50.0,0,0,0.0,0,1,0.0,0,1,1,1,1,0,0,2,4,5,1,2018-10-16
24,Kevin Durant,Golden State Warriors,37:43,9,21,42.9,0,5,0.0,9,10,90.0,1,7,8,6,1,1,3,4,27,14,1,2018-10-16
25,Draymond Green,Golden State Warriors,32:45,1,6,16.7,0,1,0.0,0,0,0.0,1,12,13,5,3,0,6,3,2,2,1,2018-10-16
26,Damian Jones,Golden State Warriors,26:33,6,7,85.7,0,0,0.0,0,0,0.0,2,1,3,2,0,3,2,4,12,-1,1,2018-10-16
27,Klay Thompson,Golden State Warriors,34:59,5,20,25.0,1,8,12.5,3,3,100,1,3,4,0,0,0,2,3,14,2,1,2018-10-16
28,Stephen Curry,Golden State Warriors,36:37,11,20,55.0,5,9,55.6,5,5,100,0,8,8,9,1,0,3,4,32,15,1,2018-10-16
29,Kevon Looney,Golden State Warriors,18:04,5,11,45.5,0,0,0.0,0,0,0.0,8,2,10,2,1,2,1,4,10,23,1,2018-10-16
30,Andre Iguodala,Golden State Warriors,10:23,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,0,2,2,1,2018-10-16
31,Khris Middleton,Milwaukee Bucks,32:46,7,14,50.0,3,6,50.0,2,2,100,1,8,9,4,2,1,2,3,19,2,2,2018-10-17
32,Giannis Antetokounmpo,Milwaukee Bucks,34:46,9,21,42.9,0,3,0.0,7,12,58.3,3,15,18,8,0,1,8,5,25,11,2,2018-10-17
33,Brook Lopez,Milwaukee Bucks,21:27,4,7,57.1,2,5,40.0,4,4,100,0,3,3,1,1,0,2,3,14,8,2,2018-10-17
34,Malcolm Brogdon,Milwaukee Bucks,38:00,4,9,44.4,2,6,33.3,0,0,0.0,0,3,3,6,1,0,4,3,10,1,2,2018-10-17
35,Eric Bledsoe,Milwaukee Bucks,33:32,7,13,53.8,3,5,60.0,0,0,0.0,2,2,4,3,0,1,2,4,17,4,2,2018-10-17
36,Donte DiVincenzo,Milwaukee Bucks,22:05,3,6,50.0,2,4,50.0,0,0,0.0,1,1,2,1,1,0,1,0,8,-9,2,2018-10-17
37,Tony Snell,Milwaukee Bucks,11:20,0,2,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,1,2,2018-10-17
38,Christian Wood,Milwaukee Bucks,4:57,1,1,100,1,1,100,0,0,0.0,0,1,1,0,0,0,0,0,3,-3,2,2018-10-17
39,Sterling Brown,Milwaukee Bucks,0:07,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,2,2018-10-17
40,Nicolas Batum,Charlotte Hornets,31:49,2,8,25.0,1,4,25.0,0,0,0.0,1,6,7,3,2,2,2,1,5,-4,2,2018-10-17
