,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
0,Trevor Ariza,Washington Wizards,24:35,3,8,37.5,2,4,50.0,1,2,50.0,1,2,3,4,3,2,0,0,9,-9,0
1,Bradley Beal,Washington Wizards,21:33,2,8,25.0,2,4,50.0,2,2,100,0,3,3,3,1,0,2,1,8,-16,0
2,Tristan Thompson,Cleveland Cavaliers,31:31,5,8,62.5,0,0,0.0,2,4,50.0,3,7,10,5,1,0,2,2,12,20,0
3,Kyrie Irving,Cleveland Cavaliers,34:34,11,20,55.0,3,6,50.0,4,5,80.0,0,6,6,3,0,1,4,4,29,23,0
4,Rajon Rondo,Boston Celtics,43:33,9,14,64.3,0,2,0.0,2,4,50.0,0,7,7,13,0,0,4,4,20,-13,1
5,Jeff Green,Boston Celtics,23:04,0,4,0.0,0,0,0.0,3,4,75.0,0,3,3,0,1,0,1,0,3,-7,1
6,LeBron James,Miami Heat,28:52,10,16,62.5,2,4,50.0,4,5,80.0,1,9,10,3,2,0,0,2,26,12,1
7,Udonis Haslem,Miami Heat,11:03,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,1,0,-2,1
8,Jae Crowder,Dallas Mavericks,19:30,3,7,42.9,2,4,50.0,0,0,0.0,0,3,3,2,1,0,0,1,8,2,2
9,Dwight Howard,Los Angeles Lakers,37:59,8,12,66.7,0,0,0.0,3,14,21.4,4,6,10,2,0,1,3,6,19,-13,2
10,Paul George,Indiana Pacers,35:10,7,15,46.7,0,0,0.0,0,0,0.0,2,13,15,5,0,1,5,2,14,3,3
11,George Hill,Indiana Pacers,32:48,3,9,33.3,1,4,25.0,1,2,50.0,0,1,1,7,0,1,1,3,8,2,3
12,D.J. Augustin,Indiana Pacers,15:12,1,4,25.0,1,1,100,2,3,66.7,0,1,1,2,1,0,2,1,5,0,3
13,Jonas Valanciunas,Toronto Raptors,23:05,6,15,40.0,0,0,0.0,0,0,0.0,6,4,10,0,0,1,0,4,12,-7,3
14,DeMar DeRozan,Toronto Raptors,27:29,5,14,35.7,0,0,0.0,0,0,0.0,3,2,5,1,0,1,0,1,10,-5,3
15,Kyle Lowry,Toronto Raptors,36:12,6,11,54.5,2,3,66.7,7,7,100,1,6,7,8,5,0,2,3,21,-1,3
16,Terrence Ross,Toronto Raptors,6:24,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,4,3
17,Ed Davis,Toronto Raptors,13:38,2,4,50.0,0,0,0.0,1,2,50.0,1,1,2,0,0,2,2,1,5,1,3
18,Andre Iguodala,Denver Nuggets,34:48,5,13,38.5,0,4,0.0,1,3,33.3,1,3,4,4,2,1,4,0,11,-19,4
19,JaVale McGee,Denver Nuggets,18:20,2,5,40.0,0,0,0.0,0,0,0.0,4,3,7,0,0,3,3,0,4,-9,4
20,Evan Fournier,Denver Nuggets,10:19,2,4,50.0,1,2,50.0,0,0,0.0,0,0,0,1,0,0,1,1,5,5,4
21,Thaddeus Young,Philadelphia 76ers,36:27,6,12,50.0,0,0,0.0,1,3,33.3,1,4,5,1,2,1,1,2,13,18,4
22,Jrue Holiday,Philadelphia 76ers,41:24,5,16,31.3,0,3,0.0,4,5,80.0,2,4,6,11,2,0,3,3,14,8,4
23,James Harden,Houston Rockets,44:04,14,25,56.0,4,10,40.0,5,6,83.3,1,5,6,12,4,1,4,2,37,18,5
24,Andre Drummond,Detroit Pistons,12:53,1,1,100,0,0,0.0,0,0,0.0,0,2,2,0,2,1,2,2,2,0,5
25,James Johnson,Sacramento Kings,21:28,1,8,12.5,0,1,0.0,0,0,0.0,2,1,3,1,3,0,4,3,2,-13,6
26,Taj Gibson,Chicago Bulls,19:14,2,6,33.3,0,0,0.0,0,0,0.0,1,4,5,0,0,4,0,1,4,-1,6
27,Jimmy Butler,Chicago Bulls,11:10,1,1,100,0,0,0.0,2,2,100,0,1,1,0,0,0,0,3,4,-5,6
28,Kawhi Leonard,San Antonio Spurs,34:17,6,13,46.2,3,6,50.0,4,4,100,1,6,7,1,5,0,2,5,19,12,7
29,Danny Green,San Antonio Spurs,32:37,4,11,36.4,1,5,20.0,0,0,0.0,0,3,3,0,1,2,1,1,9,-4,7
30,Patty Mills,San Antonio Spurs,6:03,0,0,0.0,0,0,0.0,1,2,50.0,0,1,1,1,0,1,2,0,1,-4,7
31,Anthony Davis,New Orleans Hornets,29:04,6,12,50.0,0,0,0.0,9,9,100,3,4,7,0,1,1,0,0,21,-20,7
32,Robin Lopez,New Orleans Hornets,25:32,4,10,40.0,0,0,0.0,0,0,0.0,3,6,9,3,0,1,2,2,8,-15,7
33,Austin Rivers,New Orleans Hornets,24:06,1,9,11.1,0,2,0.0,5,6,83.3,0,1,1,2,0,0,3,3,7,-2,7
34,Jae Crowder,Dallas Mavericks,21:38,3,11,27.3,2,6,33.3,0,2,0.0,0,3,3,1,0,0,0,5,8,-10,8
35,Paul Millsap,Utah Jazz,32:55,5,12,41.7,0,0,0.0,3,4,75.0,8,7,15,3,1,0,0,3,13,18,8
36,Gordon Hayward,Utah Jazz,23:49,4,10,40.0,0,1,0.0,3,5,60.0,3,0,3,2,0,0,0,3,11,1,8
37,Derrick Favors,Utah Jazz,17:59,1,2,50.0,0,0,0.0,4,6,66.7,2,8,10,0,0,2,3,3,6,11,8
