,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
0,Andrew Wiggins,Golden State Warriors,31:14:00,4,16,25,2,6,33.3,3,4,75,0,2,2,1,0,1,4,4,13,-28,116
1,Eric Paschall,Golden State Warriors,21:33,2,6,33.3,1,1,100,1,2,50,1,0,1,0,0,1,0,1,6,-28,116
2,James Wiseman,Golden State Warriors,24:17:00,7,13,53.8,1,1,100,4,8,50,1,5,6,0,2,0,1,2,19,-10,116
3,Stephen Curry,Golden State Warriors,30:19:00,7,21,33.3,2,10,20,4,4,100,3,1,4,10,2,0,3,1,20,-23,116
4,Kevon Looney,Golden State Warriors,11:17,2,4,50,0,0,0,0,1,0,0,2,2,0,0,0,2,3,4,-10,116
5,Kent Bazemore,Golden State Warriors,11:35,1,2,50,0,1,0,0,0,0,0,2,2,2,1,0,2,3,2,-3,116
6,Damion Lee,Golden State Warriors,12:14,1,2,50,1,1,100,0,0,0,1,6,7,2,0,0,0,0,3,8,116
7,Jordan Poole,Golden State Warriors,17:55,1,4,25,0,1,0,0,0,0,0,2,2,3,0,0,2,2,2,-3,116
8,Brad Wanamaker,Golden State Warriors,21:40,0,2,0,0,1,0,3,4,75,0,1,1,3,0,0,1,2,3,1,116
9,Juan Toscano-Anderson,Golden State Warriors,13:15,2,2,100,0,0,0,0,0,0,0,4,4,2,0,2,0,3,4,-9,116
10,Mychal Mulder,Golden State Warriors,6:36,3,3,100,2,2,100,0,0,0,0,1,1,0,0,0,0,0,8,9,116
11,Joe Harris,Brooklyn Nets,20:46,4,8,50,2,5,40,0,0,0,2,5,7,2,0,1,2,2,10,21,116
12,Kevin Durant,Brooklyn Nets,24:56:00,7,16,43.8,1,2,50,7,7,100,1,4,5,3,3,1,1,3,22,26,116
13,DeAndre Jordan,Brooklyn Nets,17:03,2,3,66.7,0,0,0,0,2,0,2,9,11,1,1,1,3,2,4,21,116
14,Spencer Dinwiddie,Brooklyn Nets,19:57,2,6,33.3,1,3,33.3,4,4,100,0,5,5,4,0,0,3,1,9,24,116
15,Kyrie Irving,Brooklyn Nets,25:18:00,10,16,62.5,4,7,57.1,2,2,100,1,3,4,4,0,0,1,3,26,32,116
16,Jarrett Allen,Brooklyn Nets,19:37,2,3,66.7,0,0,0,4,5,80,3,4,7,2,1,2,2,0,8,12,116
17,Landry Shamet,Brooklyn Nets,19:43,1,4,25,1,4,25,3,4,75,0,1,1,0,1,0,2,3,6,12,116
18,Caris LeVert,Brooklyn Nets,24:49:00,6,17,35.3,3,5,60,5,6,83.3,1,8,9,5,2,1,2,1,20,18,116
19,Jeff Green,Brooklyn Nets,17:17,3,4,75,1,2,50,0,0,0,0,0,0,1,1,0,1,3,7,6,116
20,Taurean Prince,Brooklyn Nets,16:06,0,1,0,0,1,0,1,2,50,0,1,1,0,1,1,0,1,1,3,116
21,Bruce Brown,Brooklyn Nets,7:31,1,3,33.3,0,1,0,0,0,0,0,1,1,1,0,0,2,1,2,-7,116
22,Timothe Luwawu-Cabarrot,Brooklyn Nets,6:36,2,6,33.3,1,3,33.3,0,0,0,1,1,2,0,0,0,1,2,5,-9,116
23,Kawhi Leonard,LA Clippers,34:00:00,10,26,38.5,1,8,12.5,5,5,100,0,2,2,3,2,0,3,5,26,1,117
24,Nicolas Batum,LA Clippers,28:10:00,1,4,25,1,3,33.3,0,0,0,1,5,6,6,2,0,1,2,3,-2,117
25,Serge Ibaka,LA Clippers,20:32,5,7,71.4,2,3,66.7,3,5,60,2,4,6,0,0,1,1,3,15,-8,117
26,Paul George,LA Clippers,35:46:00,13,18,72.2,5,8,62.5,2,2,100,0,6,6,3,1,0,5,3,33,17,117
27,Patrick Beverley,LA Clippers,22:07,4,9,44.4,2,5,40,0,0,0,4,2,6,3,0,0,2,4,10,10,117
28,Ivica Zubac,LA Clippers,26:31:00,4,5,80,0,0,0,3,4,75,3,3,6,1,1,1,1,4,11,17,117
29,Lou Williams,LA Clippers,25:56:00,4,9,44.4,2,4,50,1,3,33.3,0,2,2,3,0,0,1,2,11,1,117
30,Luke Kennard,LA Clippers,21:03,2,6,33.3,0,3,0,0,0,0,0,2,2,2,2,1,1,3,4,-3,117
31,Terance Mann,LA Clippers,1:03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,117
32,Reggie Jackson,LA Clippers,3:21,0,3,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,-1,117
33,Amir Coffey,LA Clippers,0:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,117
34,LeBron James,Los Angeles Lakers,28:21:00,7,17,41.2,3,8,37.5,5,7,71.4,2,3,5,5,0,0,4,2,22,2,117
35,Anthony Davis,Los Angeles Lakers,30:53:00,8,15,53.3,0,2,0,2,2,100,0,7,7,2,0,0,4,1,18,-16,117
36,Kentavious Caldwell-Pope,Los Angeles Lakers,23:03,2,4,50,1,3,33.3,4,4,100,0,2,2,1,2,1,2,2,9,-9,117
37,Dennis Schroder,Los Angeles Lakers,27:48:00,5,15,33.3,2,5,40,2,4,50,1,11,12,8,0,0,1,4,14,-10,117
38,Montrezl Harrell,Los Angeles Lakers,32:15:00,6,7,85.7,0,0,0,5,7,71.4,4,6,10,3,0,1,1,1,17,-3,117
39,Kyle Kuzma,Los Angeles Lakers,26:38:00,6,11,54.5,1,3,33.3,2,2,100,0,1,1,0,0,0,2,2,15,1,117
40,Markieff Morris,Los Angeles Lakers,19:00,1,3,33.3,1,2,50,2,3,66.7,1,3,4,1,0,0,0,0,5,14,117
41,Alex Caruso,Los Angeles Lakers,16:40,1,5,20,1,4,25,0,0,0,0,2,2,1,0,0,3,0,3,3,117
42,Talen Horton-Tucker,Los Angeles Lakers,10:51,2,2,100,0,0,0,2,2,100,0,1,1,0,1,0,1,3,6,7,117
43,Gordon Hayward,Charlotte Hornets,36:13:00,11,18,61.1,4,8,50,2,2,100,0,4,4,7,1,0,3,4,28,-2,118
44,P.J. Washington,Charlotte Hornets,21:23,1,5,20,0,1,0,2,2,100,0,2,2,2,0,1,0,1,4,-17,118
45,Cody Zeller,Charlotte Hornets,18:57,3,6,50,0,2,0,0,1,0,1,2,3,0,3,1,1,1,6,-10,118
46,Terry Rozier,Charlotte Hornets,37:31:00,15,23,65.2,10,16,62.5,2,4,50,1,2,3,2,2,1,3,5,42,-4,118
47,Devonte' Graham,Charlotte Hornets,37:07:00,4,13,30.8,2,9,22.2,0,0,0,2,1,3,10,0,0,2,1,10,-7,118
48,LaMelo Ball,Charlotte Hornets,15:48,0,5,0,0,3,0,0,0,0,0,1,1,3,2,0,3,2,0,2,118
49,Miles Bridges,Charlotte Hornets,22:05,3,10,30,0,5,0,0,0,0,1,5,6,1,1,0,0,1,6,6,118
50,Cody Martin,Charlotte Hornets,21:01,2,3,66.7,0,0,0,1,1,100,1,4,5,4,0,0,0,1,5,2,118
51,Jalen McDaniels,Charlotte Hornets,5:34,1,2,50,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,-5,118
52,Isaac Okoro,Cleveland Cavaliers,33:32:00,4,5,80,1,2,50,2,2,100,0,3,3,5,0,0,2,1,11,7,118
53,Andre Drummond,Cleveland Cavaliers,27:12:00,7,18,38.9,0,1,0,0,0,0,3,11,14,4,1,0,5,2,14,-5,118
54,Collin Sexton,Cleveland Cavaliers,37:05:00,9,16,56.3,3,4,75,6,9,66.7,0,2,2,5,0,0,2,4,27,6,118
55,Darius Garland,Cleveland Cavaliers,32:33:00,7,13,53.8,4,8,50,4,4,100,0,6,6,6,1,0,2,3,22,4,118
56,Cedi Osman,Cleveland Cavaliers,17:57,4,9,44.4,3,6,50,0,0,0,1,3,4,2,0,0,1,2,11,-4,118
57,JaVale McGee,Cleveland Cavaliers,19:12,6,7,85.7,0,1,0,1,1,100,1,6,7,1,1,1,1,3,13,12,118
58,Dean Wade,Cleveland Cavaliers,15:52,3,4,75,1,2,50,0,0,0,0,0,0,3,3,0,2,3,7,2,118
59,Dylan Windler,Cleveland Cavaliers,9:29,1,5,20,1,4,25,0,0,0,0,0,0,0,2,0,1,0,3,-4,118
