,Visitor,VisitorScore,Home,HomeScore,Date,GAMEID
0,Magic,87,Pacers,97,2013-10-29,0
1,Bulls,95,Heat,107,2013-10-29,1
2,Clippers,103,Lakers,116,2013-10-29,2
3,Nets,94,Cavaliers,98,2013-10-30,3
4,Heat,110,76ers,114,2013-10-30,4
5,Celtics,87,Raptors,93,2013-10-30,5
6,Wizards,102,Pistons,113,2013-10-30,6
7,Bucks,83,Knicks,90,2013-10-30,7
8,Bobcats,83,Rockets,96,2013-10-30,8
9,Magic,115,Timberwolves,120,2013-10-30,9
10,Pacers,95,Pelicans,90,2013-10-30,10
11,Hawks,109,Mavericks,118,2013-10-30,11
12,Grizzlies,94,Spurs,101,2013-10-30,12
13,Thunder,101,Jazz,98,2013-10-30,13
14,Trail Blazers,91,Suns,104,2013-10-30,14
15,Nuggets,88,Kings,90,2013-10-30,15
16,Lakers,94,Warriors,125,2013-10-30,16
17,Knicks,81,Bulls,82,2013-10-31,17
18,Warriors,115,Clippers,126,2013-10-31,18
19,Cavaliers,84,Bobcats,90,2013-11-01,19
20,Pelicans,90,Magic,110,2013-11-01,20
21,76ers,109,Wizards,102,2013-11-01,21
22,Raptors,95,Hawks,102,2013-11-01,22
23,Bucks,105,Celtics,98,2013-11-01,23
24,Mavericks,105,Rockets,113,2013-11-01,24
25,Pistons,108,Grizzlies,111,2013-11-01,25
26,Thunder,81,Timberwolves,100,2013-11-01,26
27,Heat,100,Nets,101,2013-11-01,27
28,Trail Blazers,113,Nuggets,98,2013-11-01,28
29,Jazz,84,Suns,87,2013-11-01,29
30,Clippers,110,Kings,101,2013-11-01,30
31,Spurs,91,Lakers,85,2013-11-01,31
32,Cavaliers,74,Pacers,89,2013-11-02,32
33,Bulls,104,76ers,107,2013-11-02,33
34,Bobcats,84,Pelicans,105,2013-11-02,34
35,Grizzlies,99,Mavericks,111,2013-11-02,35
36,Raptors,97,Bucks,90,2013-11-02,36
37,Rockets,104,Jazz,93,2013-11-02,37
38,Spurs,105,Trail Blazers,115,2013-11-02,38
39,Kings,87,Warriors,98,2013-11-02,39
40,Celtics,77,Pistons,87,2013-11-03,40
41,Wizards,93,Heat,103,2013-11-03,41
42,Nets,86,Magic,107,2013-11-03,42
43,Suns,96,Thunder,103,2013-11-03,43
44,Timberwolves,109,Knicks,100,2013-11-03,44
45,Hawks,103,Lakers,105,2013-11-03,45
46,Timberwolves,92,Cavaliers,93,2013-11-04,46
47,Warriors,110,76ers,90,2013-11-04,47
48,Celtics,88,Grizzlies,95,2013-11-04,48
49,Rockets,118,Clippers,137,2013-11-04,49
50,Heat,104,Raptors,95,2013-11-05,50
51,Jazz,88,Nets,104,2013-11-05,51
52,Pacers,99,Pistons,91,2013-11-05,52
53,Bobcats,102,Knicks,97,2013-11-05,53
54,Suns,104,Pelicans,98,2013-11-05,54
55,Lakers,104,Mavericks,123,2013-11-05,55
56,Spurs,102,Nuggets,94,2013-11-05,56
57,Rockets,116,Trail Blazers,101,2013-11-05,57
58,Hawks,105,Kings,100,2013-11-05,58
59,Raptors,90,Bobcats,92,2013-11-06,59
60,Bulls,80,Pacers,97,2013-11-06,60
61,Clippers,90,Magic,98,2013-11-06,61
62,Wizards,116,76ers,102,2013-11-06,62
63,Jazz,87,Celtics,97,2013-11-06,63
64,Pelicans,99,Grizzlies,84,2013-11-06,64
65,Cavaliers,104,Bucks,109,2013-11-06,65
66,Warriors,106,Timberwolves,93,2013-11-06,66
67,Suns,96,Spurs,99,2013-11-06,67
68,Mavericks,93,Thunder,107,2013-11-06,68
69,Clippers,97,Heat,102,2013-11-07,69
70,Hawks,107,Nuggets,109,2013-11-07,70
71,Lakers,99,Rockets,98,2013-11-07,71
72,Knicks,101,Bobcats,91,2013-11-08,72
73,Raptors,84,Pacers,91,2013-11-08,73
74,Celtics,91,Magic,89,2013-11-08,74
75,Cavaliers,79,76ers,94,2013-11-08,75
76,Nets,108,Wizards,112,2013-11-08,76
77,Thunder,119,Pistons,110,2013-11-08,77
78,Jazz,73,Bulls,97,2013-11-08,78
79,Mavericks,108,Timberwolves,116,2013-11-08,79
80,Lakers,85,Pelicans,96,2013-11-08,80
81,Warriors,74,Spurs,76,2013-11-08,81
82,Nuggets,103,Suns,114,2013-11-08,82
83,Kings,91,Trail Blazers,104,2013-11-08,83
84,Jazz,91,Raptors,115,2013-11-09,84
85,Magic,94,Hawks,104,2013-11-09,85
86,Pacers,96,Nets,91,2013-11-09,86
87,76ers,125,Cavaliers,127,2013-11-09,87
88,Celtics,111,Heat,110,2013-11-09,88
89,Clippers,107,Rockets,94,2013-11-09,89
90,Warriors,90,Grizzlies,108,2013-11-09,90
91,Mavericks,91,Bucks,83,2013-11-09,91
92,Trail Blazers,96,Kings,85,2013-11-09,92
93,Spurs,120,Knicks,89,2013-11-10,93
94,Wizards,105,Thunder,106,2013-11-10,94
95,Pelicans,94,Suns,101,2013-11-10,95
96,Timberwolves,113,Lakers,90,2013-11-10,96
97,Hawks,103,Bobcats,94,2013-11-11,97
98,Grizzlies,79,Pacers,95,2013-11-11,98
99,Spurs,109,76ers,85,2013-11-11,99
100,Magic,105,Celtics,120,2013-11-11,100
101,Cavaliers,81,Bulls,96,2013-11-11,101
102,Raptors,104,Rockets,110,2013-11-11,102
103,Nuggets,100,Jazz,81,2013-11-11,103
104,Pistons,103,Trail Blazers,109,2013-11-11,104
105,Timberwolves,107,Clippers,109,2013-11-11,105
106,Bucks,95,Heat,118,2013-11-12,106
107,Wizards,95,Mavericks,105,2013-11-12,107
108,Pistons,95,Warriors,113,2013-11-12,108
109,Pelicans,95,Lakers,116,2013-11-12,109
110,Bucks,91,Magic,94,2013-11-13,110
111,Rockets,117,76ers,123,2013-11-13,111
112,Bobcats,89,Celtics,83,2013-11-13,112
113,Raptors,103,Grizzlies,87,2013-11-13,113
114,Cavaliers,95,Timberwolves,124,2013-11-13,114
115,Knicks,95,Hawks,91,2013-11-13,115
116,Wizards,79,Spurs,92,2013-11-13,116
117,Lakers,99,Nuggets,111,2013-11-13,117
118,Pelicans,105,Jazz,111,2013-11-13,118
119,Suns,89,Trail Blazers,90,2013-11-13,119
120,Nets,86,Kings,107,2013-11-13,120
121,Thunder,103,Clippers,111,2013-11-13,121
122,Rockets,109,Knicks,106,2013-11-14,122
123,Thunder,115,Warriors,116,2013-11-14,123
124,Bucks,77,Pacers,104,2013-11-15,124
125,Bulls,96,Raptors,80,2013-11-15,125
126,76ers,103,Hawks,113,2013-11-15,126
127,Trail Blazers,109,Celtics,96,2013-11-15,127
128,Bobcats,86,Cavaliers,80,2013-11-15,128
129,Mavericks,104,Heat,110,2013-11-15,129
130,Timberwolves,113,Nuggets,117,2013-11-15,130
131,Nets,100,Suns,98,2013-11-15,131
132,Spurs,91,Jazz,82,2013-11-15,132
133,Grizzlies,89,Lakers,86,2013-11-15,133
134,Pistons,97,Kings,90,2013-11-15,134
135,Heat,97,Bobcats,81,2013-11-16,135
136,Mavericks,108,Magic,100,2013-11-16,136
137,Cavaliers,103,Wizards,96,2013-11-16,137
138,Hawks,110,Knicks,90,2013-11-16,138
139,Pacers,94,Bulls,110,2013-11-16,139
140,Nuggets,111,Rockets,122,2013-11-16,140
141,Celtics,88,Timberwolves,106,2013-11-16,141
142,76ers,98,Pelicans,135,2013-11-16,142
143,Thunder,92,Bucks,79,2013-11-16,143
144,Jazz,88,Warriors,102,2013-11-16,144
145,Nets,103,Clippers,110,2013-11-16,145
146,Trail Blazers,118,Raptors,110,2013-11-17,146
147,Grizzlies,97,Kings,86,2013-11-17,147
148,Pistons,99,Lakers,114,2013-11-17,148
149,Trail Blazers,108,Nets,98,2013-11-18,149
150,Bobcats,81,Bulls,86,2013-11-18,150
151,Nuggets,113,Thunder,115,2013-11-18,151
152,76ers,94,Mavericks,97,2013-11-18,152
153,Warriors,98,Jazz,87,2013-11-18,153
154,Grizzlies,106,Clippers,102,2013-11-18,154
155,Timberwolves,100,Wizards,104,2013-11-19,155
156,Knicks,86,Pistons,92,2013-11-19,156
157,Hawks,88,Heat,104,2013-11-19,157
158,Celtics,85,Rockets,109,2013-11-19,158
159,Suns,104,Kings,107,2013-11-19,159
160,Nets,91,Bobcats,95,2013-11-20,160
161,Wizards,98,Cavaliers,91,2013-11-20,161
162,Pacers,103,Knicks,96,2013-11-20,162
163,Heat,120,Magic,92,2013-11-20,163
164,Raptors,108,76ers,98,2013-11-20,164
165,Pistons,85,Hawks,93,2013-11-20,165
166,Trail Blazers,91,Bucks,82,2013-11-20,166
167,Clippers,102,Timberwolves,98,2013-11-20,167
168,Jazz,98,Pelicans,105,2013-11-20,168
169,Celtics,93,Spurs,104,2013-11-20,169
170,Kings,113,Suns,106,2013-11-20,170
171,Rockets,120,Mavericks,123,2013-11-20,171
172,Grizzlies,88,Warriors,81,2013-11-20,172
173,Clippers,91,Thunder,105,2013-11-21,173
174,Bulls,87,Nuggets,97,2013-11-21,174
175,Suns,98,Bobcats,91,2013-11-22,175
176,Bucks,107,76ers,115,2013-11-22,176
177,Wizards,88,Raptors,96,2013-11-22,177
178,Pacers,97,Celtics,82,2013-11-22,178
179,Hawks,96,Pistons,89,2013-11-22,179
180,Spurs,102,Grizzlies,86,2013-11-22,180
181,Nets,81,Timberwolves,111,2013-11-22,181
182,Cavaliers,100,Pelicans,104,2013-11-22,182
183,Jazz,93,Mavericks,103,2013-11-22,183
184,Bulls,95,Trail Blazers,98,2013-11-22,184
185,Warriors,95,Lakers,102,2013-11-22,185
186,Kings,102,Clippers,103,2013-11-23,186
187,76ers,98,Pacers,106,2013-11-23,187
188,Knicks,89,Wizards,98,2013-11-23,188
189,Celtics,94,Hawks,87,2013-11-23,189
190,Magic,99,Heat,101,2013-11-23,190
191,Timberwolves,101,Rockets,112,2013-11-23,191
192,Bobcats,96,Bucks,72,2013-11-23,192
193,Cavaliers,96,Spurs,126,2013-11-23,193
194,Mavericks,100,Nuggets,102,2013-11-23,194
195,Trail Blazers,113,Warriors,101,2013-11-23,195
